PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001110,01010110,01100101,10011010,10101001,10110001
"(55, 45)",2.0,"(0, 1)","[(55, 45), (31, 106)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(31, 106)",2.0,"(0, 6)","[(55, 45), (132, 86)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
"(63, 127)",2.0,"(0, 7)","[(55, 45), (221, 95)]",00 - M,00 - M,01 - B,10 - B,11 - M,11 - M
"(110, 211)",2.0,"(1, 2)","[(31, 106), (63, 127)]",10 - B,10 - B,11 - M,00 - M,01 - B,01 - B
"(111, 138)",2.0,"(1, 3)","[(31, 106), (110, 211)]",10 - B,11 - M,10 - B,01 - B,00 - M,01 - B
"(163, 133)",2.0,"(2, 3)","[(63, 127), (110, 211)]",00 - M,01 - B,10 - B,01 - B,10 - B,11 - M
"(132, 86)",2.0,"(3, 4)","[(110, 211), (111, 138)]",01 - B,10 - B,00 - M,11 - M,01 - B,10 - B
"(221, 95)",2.0,"(3, 5)","[(110, 211), (163, 133)]",01 - B,11 - M,01 - B,10 - B,00 - M,10 - B
,2.0,"(3, 7)","[(110, 211), (221, 95)]",00 - M,10 - B,01 - B,10 - B,01 - B,11 - M
,2.0,"(5, 7)","[(163, 133), (221, 95)]",10 - B,10 - B,11 - M,00 - M,01 - B,01 - B
,2.0,"(6, 7)","[(132, 86), (221, 95)]",10 - B,10 - B,01 - B,10 - B,01 - B,01 - B
,3.0,"(0, 1, 2)","[(55, 45), (31, 106), (63, 127)]",010 - I,010 - I,011 - I,100 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(55, 45), (31, 106), (132, 86)]",011 - I,011 - I,010 - I,101 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(55, 45), (132, 86), (221, 95)]",010 - I,010 - I,001 - I,110 - I,101 - I,101 - I
,3.0,"(1, 2, 3)","[(31, 106), (63, 127), (110, 211)]",100 - I,101 - I,110 - I,001 - I,010 - I,011 - I
,3.0,"(2, 3, 4)","[(63, 127), (110, 211), (111, 138)]",001 - I,010 - I,100 - I,011 - I,101 - I,110 - I
,3.0,"(3, 4, 5)","[(110, 211), (111, 138), (163, 133)]",011 - I,101 - I,001 - I,110 - I,010 - I,100 - I
,3.0,"(3, 5, 7)","[(110, 211), (163, 133), (221, 95)]",010 - I,110 - I,011 - I,100 - I,001 - I,101 - I
,3.0,"(5, 6, 7)","[(163, 133), (132, 86), (221, 95)]",110 - I,110 - I,101 - I,010 - I,001 - I,001 - I
,4.0,"(0, 1, 2, 3)","[(55, 45), (31, 106), (63, 127), (110, 211)]",0100 - I,0101 - B,0110 - B,1001 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(55, 45), (31, 106), (63, 127), (111, 138)]",0101 - B,0100 - I,0110 - B,1001 - B,1011 - I,1010 - B
,4.0,"(0, 1, 2, 6)","[(55, 45), (31, 106), (63, 127), (132, 86)]",0101 - B,0101 - B,0110 - B,1001 - B,1010 - B,1010 - B
,4.0,"(0, 1, 6, 7)","[(55, 45), (31, 106), (132, 86), (221, 95)]",0110 - B,0110 - B,0101 - B,1010 - B,1001 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(55, 45), (163, 133), (132, 86), (221, 95)]",0110 - B,0110 - B,0101 - B,1010 - B,1001 - B,1001 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
