PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(222, 22)",2.0,"(0, 1)","[(222, 22), (28, 7)]",01 - B,10 - B
"(28, 7)",2.0,"(0, 7)","[(222, 22), (227, 202)]",01 - B,10 - B
"(39, 248)",2.0,"(1, 2)","[(28, 7), (39, 248)]",10 - B,01 - B
"(49, 240)",2.0,"(2, 3)","[(39, 248), (49, 240)]",01 - B,10 - B
"(127, 145)",2.0,"(2, 7)","[(39, 248), (227, 202)]",01 - B,10 - B
"(132, 197)",2.0,"(6, 7)","[(126, 221), (227, 202)]",01 - B,10 - B
"(126, 221)",3.0,"(0, 1, 2)","[(222, 22), (28, 7), (39, 248)]",010 - I,101 - I
"(227, 202)",3.0,"(0, 1, 4)","[(222, 22), (28, 7), (127, 145)]",010 - I,101 - I
,3.0,"(0, 1, 7)","[(222, 22), (28, 7), (227, 202)]",011 - I,100 - I
,3.0,"(0, 4, 7)","[(222, 22), (127, 145), (227, 202)]",001 - I,110 - I
,3.0,"(0, 5, 7)","[(222, 22), (132, 197), (227, 202)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(222, 22), (126, 221), (227, 202)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(28, 7), (39, 248), (49, 240)]",101 - I,010 - I
,3.0,"(2, 3, 6)","[(39, 248), (49, 240), (126, 221)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(39, 248), (49, 240), (227, 202)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(39, 248), (126, 221), (227, 202)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(132, 197), (126, 221), (227, 202)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(222, 22), (28, 7), (39, 248), (49, 240)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(222, 22), (28, 7), (39, 248), (127, 145)]",0100 - I,1011 - I
,4.0,"(0, 1, 3, 4)","[(222, 22), (28, 7), (49, 240), (127, 145)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 5)","[(222, 22), (28, 7), (127, 145), (132, 197)]",0101 - B,1010 - B
,4.0,"(0, 1, 4, 7)","[(222, 22), (28, 7), (127, 145), (227, 202)]",0101 - B,1010 - B
,4.0,"(0, 4, 5, 7)","[(222, 22), (127, 145), (132, 197), (227, 202)]",0011 - B,1100 - B
,4.0,"(0, 5, 6, 7)","[(222, 22), (132, 197), (126, 221), (227, 202)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
