PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(59, 20)",2.0,"(0, 1)","[(59, 20), (69, 90)]",01 - B,10 - B
"(69, 90)",2.0,"(0, 5)","[(59, 20), (117, 92)]",01 - B,10 - B
"(175, 233)",2.0,"(0, 7)","[(59, 20), (196, 149)]",01 - B,10 - B
"(167, 204)",2.0,"(1, 2)","[(69, 90), (175, 233)]",10 - B,01 - B
"(169, 175)",2.0,"(2, 3)","[(175, 233), (167, 204)]",01 - B,10 - B
"(117, 92)",2.0,"(2, 7)","[(175, 233), (196, 149)]",01 - B,10 - B
"(159, 136)",2.0,"(4, 7)","[(169, 175), (196, 149)]",01 - B,10 - B
"(196, 149)",2.0,"(6, 7)","[(159, 136), (196, 149)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(59, 20), (69, 90), (175, 233)]",010 - I,101 - I
,3.0,"(0, 1, 5)","[(59, 20), (69, 90), (117, 92)]",011 - I,100 - I
,3.0,"(0, 5, 7)","[(59, 20), (117, 92), (196, 149)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(59, 20), (159, 136), (196, 149)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(69, 90), (175, 233), (167, 204)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(175, 233), (167, 204), (169, 175)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(175, 233), (167, 204), (196, 149)]",011 - I,100 - I
,3.0,"(2, 4, 7)","[(175, 233), (169, 175), (196, 149)]",001 - I,110 - I
,3.0,"(4, 6, 7)","[(169, 175), (159, 136), (196, 149)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(117, 92), (159, 136), (196, 149)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(59, 20), (69, 90), (175, 233), (167, 204)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 5)","[(59, 20), (69, 90), (175, 233), (117, 92)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 5)","[(59, 20), (69, 90), (167, 204), (117, 92)]",0111 - I,1000 - I
,4.0,"(0, 1, 5, 6)","[(59, 20), (69, 90), (117, 92), (159, 136)]",0110 - B,1001 - B
,4.0,"(0, 1, 5, 7)","[(59, 20), (69, 90), (117, 92), (196, 149)]",0111 - I,1000 - I
,4.0,"(0, 5, 6, 7)","[(59, 20), (117, 92), (159, 136), (196, 149)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
