PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,10110010
"(102, 152)",2.0,"(0, 1)","[(102, 152), (221, 163)]",01 - B,10 - B
"(221, 163)",2.0,"(0, 4)","[(102, 152), (105, 145)]",01 - B,10 - B
"(212, 149)",2.0,"(0, 7)","[(102, 152), (32, 93)]",01 - B,10 - B
"(224, 142)",2.0,"(1, 2)","[(221, 163), (212, 149)]",10 - B,01 - B
"(105, 145)",2.0,"(1, 3)","[(221, 163), (224, 142)]",10 - B,01 - B
"(98, 125)",2.0,"(2, 3)","[(212, 149), (224, 142)]",00 - M,11 - M
"(92, 131)",2.0,"(3, 7)","[(224, 142), (32, 93)]",01 - B,10 - B
"(32, 93)",2.0,"(5, 7)","[(98, 125), (32, 93)]",11 - M,00 - M
,2.0,"(6, 7)","[(92, 131), (32, 93)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(102, 152), (221, 163), (212, 149)]",010 - I,101 - I
,3.0,"(0, 1, 4)","[(102, 152), (221, 163), (105, 145)]",011 - I,100 - I
,3.0,"(0, 4, 6)","[(102, 152), (105, 145), (92, 131)]",010 - I,101 - I
,3.0,"(0, 4, 7)","[(102, 152), (105, 145), (32, 93)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(102, 152), (92, 131), (32, 93)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(221, 163), (212, 149), (224, 142)]",100 - I,011 - I
,3.0,"(2, 3, 7)","[(212, 149), (224, 142), (32, 93)]",001 - I,110 - I
,3.0,"(3, 5, 7)","[(224, 142), (98, 125), (32, 93)]",011 - I,100 - I
,3.0,"(5, 6, 7)","[(98, 125), (92, 131), (32, 93)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(102, 152), (221, 163), (212, 149), (224, 142)]",0100 - I,1011 - I
,4.0,"(0, 1, 2, 4)","[(102, 152), (221, 163), (212, 149), (105, 145)]",0101 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(102, 152), (221, 163), (105, 145), (92, 131)]",0110 - B,1001 - B
,4.0,"(0, 4, 5, 6)","[(102, 152), (105, 145), (98, 125), (92, 131)]",0110 - B,1001 - B
,4.0,"(0, 4, 6, 7)","[(102, 152), (105, 145), (92, 131), (32, 93)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(102, 152), (98, 125), (92, 131), (32, 93)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
