PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(19, 129)",2.0,"(0, 1)","[(19, 129), (143, 164)]",01 - B,10 - B
"(143, 164)",2.0,"(0, 5)","[(19, 129), (121, 140)]",01 - B,10 - B
"(237, 177)",2.0,"(0, 7)","[(19, 129), (85, 78)]",01 - B,10 - B
"(184, 157)",2.0,"(1, 2)","[(143, 164), (237, 177)]",10 - B,01 - B
"(188, 152)",2.0,"(2, 3)","[(237, 177), (184, 157)]",01 - B,10 - B
"(121, 140)",2.0,"(2, 4)","[(237, 177), (188, 152)]",00 - M,11 - M
"(122, 126)",2.0,"(2, 7)","[(237, 177), (85, 78)]",01 - B,10 - B
"(85, 78)",2.0,"(4, 7)","[(188, 152), (85, 78)]",01 - B,10 - B
,2.0,"(6, 7)","[(122, 126), (85, 78)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(19, 129), (143, 164), (237, 177)]",010 - I,101 - I
,3.0,"(0, 1, 5)","[(19, 129), (143, 164), (121, 140)]",011 - I,100 - I
,3.0,"(0, 5, 7)","[(19, 129), (121, 140), (85, 78)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(19, 129), (122, 126), (85, 78)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(143, 164), (237, 177), (184, 157)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(237, 177), (184, 157), (188, 152)]",010 - I,101 - I
,3.0,"(2, 4, 7)","[(237, 177), (188, 152), (85, 78)]",001 - I,110 - I
,3.0,"(4, 6, 7)","[(188, 152), (122, 126), (85, 78)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(121, 140), (122, 126), (85, 78)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(19, 129), (143, 164), (237, 177), (184, 157)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 5)","[(19, 129), (143, 164), (237, 177), (121, 140)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 5)","[(19, 129), (143, 164), (184, 157), (121, 140)]",0111 - I,1000 - I
,4.0,"(0, 1, 5, 6)","[(19, 129), (143, 164), (121, 140), (122, 126)]",0110 - B,1001 - B
,4.0,"(0, 1, 5, 7)","[(19, 129), (143, 164), (121, 140), (85, 78)]",0111 - I,1000 - I
,4.0,"(0, 5, 6, 7)","[(19, 129), (121, 140), (122, 126), (85, 78)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
