PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01100101,10011010
"(254, 163)",2.0,"(0, 1)","[(254, 163), (184, 17)]",01 - B,10 - B
"(184, 17)",2.0,"(0, 6)","[(254, 163), (187, 215)]",00 - M,11 - M
"(79, 116)",2.0,"(0, 7)","[(254, 163), (167, 240)]",01 - B,10 - B
"(2, 168)",2.0,"(1, 2)","[(184, 17), (79, 116)]",11 - M,00 - M
"(105, 174)",2.0,"(1, 3)","[(184, 17), (2, 168)]",10 - B,01 - B
"(143, 196)",2.0,"(2, 3)","[(79, 116), (2, 168)]",10 - B,01 - B
"(187, 215)",2.0,"(3, 4)","[(2, 168), (105, 174)]",00 - M,11 - M
"(167, 240)",2.0,"(3, 7)","[(2, 168), (167, 240)]",01 - B,10 - B
,2.0,"(6, 7)","[(187, 215), (167, 240)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(254, 163), (184, 17), (79, 116)]",011 - I,100 - I
,3.0,"(0, 1, 6)","[(254, 163), (184, 17), (187, 215)]",010 - I,101 - I
,3.0,"(0, 6, 7)","[(254, 163), (187, 215), (167, 240)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(184, 17), (79, 116), (2, 168)]",110 - I,001 - I
,3.0,"(2, 3, 4)","[(79, 116), (2, 168), (105, 174)]",100 - I,011 - I
,3.0,"(3, 4, 7)","[(2, 168), (105, 174), (167, 240)]",001 - I,110 - I
,3.0,"(3, 5, 7)","[(2, 168), (143, 196), (167, 240)]",011 - I,100 - I
,3.0,"(3, 6, 7)","[(2, 168), (187, 215), (167, 240)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(143, 196), (187, 215), (167, 240)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(254, 163), (184, 17), (79, 116), (2, 168)]",0110 - B,1001 - B
,4.0,"(0, 1, 2, 4)","[(254, 163), (184, 17), (79, 116), (105, 174)]",0110 - B,1001 - B
,4.0,"(0, 1, 2, 6)","[(254, 163), (184, 17), (79, 116), (187, 215)]",0110 - B,1001 - B
,4.0,"(0, 1, 5, 6)","[(254, 163), (184, 17), (143, 196), (187, 215)]",0110 - B,1001 - B
,4.0,"(0, 1, 6, 7)","[(254, 163), (184, 17), (187, 215), (167, 240)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(254, 163), (143, 196), (187, 215), (167, 240)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
