PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010110,10101001
"(125, 251)",2.0,"(0, 1)","[(125, 251), (238, 236)]",01 - B,10 - B
"(238, 236)",2.0,"(0, 6)","[(125, 251), (108, 169)]",01 - B,10 - B
"(208, 207)",2.0,"(0, 7)","[(125, 251), (53, 14)]",00 - M,11 - M
"(189, 202)",2.0,"(1, 2)","[(238, 236), (208, 207)]",10 - B,01 - B
"(182, 204)",2.0,"(1, 7)","[(238, 236), (53, 14)]",10 - B,01 - B
"(131, 149)",2.0,"(2, 7)","[(208, 207), (53, 14)]",00 - M,11 - M
"(108, 169)",2.0,"(5, 7)","[(131, 149), (53, 14)]",10 - B,01 - B
"(53, 14)",2.0,"(6, 7)","[(108, 169), (53, 14)]",10 - B,01 - B
,3.0,"(0, 1, 2)","[(125, 251), (238, 236), (208, 207)]",010 - I,101 - I
,3.0,"(0, 1, 4)","[(125, 251), (238, 236), (182, 204)]",010 - I,101 - I
,3.0,"(0, 1, 6)","[(125, 251), (238, 236), (108, 169)]",011 - I,100 - I
,3.0,"(0, 4, 6)","[(125, 251), (182, 204), (108, 169)]",001 - I,110 - I
,3.0,"(0, 5, 6)","[(125, 251), (131, 149), (108, 169)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(125, 251), (108, 169), (53, 14)]",010 - I,101 - I
,3.0,"(1, 2, 3)","[(238, 236), (208, 207), (189, 202)]",101 - I,010 - I
,3.0,"(1, 2, 7)","[(238, 236), (208, 207), (53, 14)]",100 - I,011 - I
,3.0,"(2, 5, 7)","[(208, 207), (131, 149), (53, 14)]",010 - I,101 - I
,3.0,"(5, 6, 7)","[(131, 149), (108, 169), (53, 14)]",110 - I,001 - I
,4.0,"(0, 1, 2, 3)","[(125, 251), (238, 236), (208, 207), (189, 202)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(125, 251), (238, 236), (208, 207), (182, 204)]",0100 - I,1011 - I
,4.0,"(0, 1, 3, 4)","[(125, 251), (238, 236), (189, 202), (182, 204)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 6)","[(125, 251), (238, 236), (182, 204), (108, 169)]",0101 - B,1010 - B
,4.0,"(0, 3, 4, 6)","[(125, 251), (189, 202), (182, 204), (108, 169)]",0101 - B,1010 - B
,4.0,"(0, 4, 5, 6)","[(125, 251), (182, 204), (131, 149), (108, 169)]",0011 - B,1100 - B
,4.0,"(0, 5, 6, 7)","[(125, 251), (131, 149), (108, 169), (53, 14)]",0110 - B,1001 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
