PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(96, 191)",2.0,"(0, 1)","[(96, 191), (140, 171)]",01 - B,10 - B
"(140, 171)",2.0,"(0, 6)","[(96, 191), (28, 126)]",00 - M,11 - M
"(255, 65)",2.0,"(0, 7)","[(96, 191), (1, 108)]",01 - B,10 - B
"(217, 85)",2.0,"(1, 2)","[(140, 171), (255, 65)]",10 - B,01 - B
"(132, 147)",2.0,"(2, 3)","[(255, 65), (217, 85)]",01 - B,10 - B
"(56, 128)",2.0,"(2, 7)","[(255, 65), (1, 108)]",01 - B,10 - B
"(28, 126)",2.0,"(6, 7)","[(28, 126), (1, 108)]",01 - B,10 - B
"(1, 108)",3.0,"(0, 1, 2)","[(96, 191), (140, 171), (255, 65)]",010 - I,101 - I
,3.0,"(0, 1, 4)","[(96, 191), (140, 171), (132, 147)]",010 - I,101 - I
,3.0,"(0, 1, 6)","[(96, 191), (140, 171), (28, 126)]",010 - I,101 - I
,3.0,"(0, 6, 7)","[(96, 191), (28, 126), (1, 108)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(140, 171), (255, 65), (217, 85)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(255, 65), (217, 85), (132, 147)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(255, 65), (217, 85), (1, 108)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(255, 65), (28, 126), (1, 108)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(56, 128), (28, 126), (1, 108)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(96, 191), (140, 171), (255, 65), (217, 85)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(96, 191), (140, 171), (255, 65), (132, 147)]",0100 - I,1011 - I
,4.0,"(0, 1, 3, 4)","[(96, 191), (140, 171), (217, 85), (132, 147)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 5)","[(96, 191), (140, 171), (132, 147), (56, 128)]",0101 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(96, 191), (140, 171), (132, 147), (28, 126)]",0100 - I,1011 - I
,4.0,"(0, 1, 5, 6)","[(96, 191), (140, 171), (56, 128), (28, 126)]",0110 - B,1001 - B
,4.0,"(0, 1, 6, 7)","[(96, 191), (140, 171), (28, 126), (1, 108)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(96, 191), (56, 128), (28, 126), (1, 108)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
