PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010110,10101001
"(244, 254)",2.0,"(0, 1)","[(244, 254), (150, 2)]",01 - B,10 - B
"(150, 2)",2.0,"(0, 6)","[(244, 254), (191, 218)]",01 - B,10 - B
"(112, 6)",2.0,"(0, 7)","[(244, 254), (11, 146)]",00 - M,11 - M
"(58, 1)",2.0,"(1, 2)","[(150, 2), (112, 6)]",10 - B,01 - B
"(140, 152)",2.0,"(1, 3)","[(150, 2), (58, 1)]",11 - M,00 - M
"(122, 157)",2.0,"(2, 3)","[(112, 6), (58, 1)]",01 - B,10 - B
"(191, 218)",2.0,"(3, 7)","[(58, 1), (11, 146)]",10 - B,01 - B
"(11, 146)",2.0,"(5, 7)","[(122, 157), (11, 146)]",10 - B,01 - B
,2.0,"(6, 7)","[(191, 218), (11, 146)]",10 - B,01 - B
,3.0,"(0, 1, 2)","[(244, 254), (150, 2), (112, 6)]",010 - I,101 - I
,3.0,"(0, 1, 6)","[(244, 254), (150, 2), (191, 218)]",011 - I,100 - I
,3.0,"(0, 4, 6)","[(244, 254), (140, 152), (191, 218)]",001 - I,110 - I
,3.0,"(0, 5, 6)","[(244, 254), (122, 157), (191, 218)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(244, 254), (191, 218), (11, 146)]",010 - I,101 - I
,3.0,"(1, 2, 3)","[(150, 2), (112, 6), (58, 1)]",101 - I,010 - I
,3.0,"(2, 3, 7)","[(112, 6), (58, 1), (11, 146)]",010 - I,101 - I
,3.0,"(3, 5, 7)","[(58, 1), (122, 157), (11, 146)]",110 - I,001 - I
,3.0,"(4, 5, 7)","[(140, 152), (122, 157), (11, 146)]",010 - I,101 - I
,3.0,"(5, 6, 7)","[(122, 157), (191, 218), (11, 146)]",110 - I,001 - I
,4.0,"(0, 1, 2, 3)","[(244, 254), (150, 2), (112, 6), (58, 1)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 6)","[(244, 254), (150, 2), (112, 6), (191, 218)]",0101 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(244, 254), (150, 2), (140, 152), (191, 218)]",0101 - B,1010 - B
,4.0,"(0, 4, 5, 6)","[(244, 254), (140, 152), (122, 157), (191, 218)]",0011 - B,1100 - B
,4.0,"(0, 5, 6, 7)","[(244, 254), (122, 157), (191, 218), (11, 146)]",0110 - B,1001 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
