PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,01010110,10101001,10101010
"(187, 199)",2.0,"(0, 1)","[(187, 199), (183, 160)]",01 - B,01 - B,10 - B,10 - B
"(183, 160)",2.0,"(0, 6)","[(187, 199), (122, 179)]",00 - M,01 - B,10 - B,11 - M
"(84, 57)",2.0,"(0, 7)","[(187, 199), (69, 175)]",01 - B,00 - M,11 - M,10 - B
"(132, 143)",2.0,"(1, 2)","[(183, 160), (84, 57)]",10 - B,10 - B,01 - B,01 - B
"(125, 153)",2.0,"(2, 3)","[(84, 57), (132, 143)]",01 - B,01 - B,10 - B,10 - B
"(89, 158)",2.0,"(2, 5)","[(84, 57), (89, 158)]",01 - B,01 - B,10 - B,10 - B
"(122, 179)",2.0,"(2, 7)","[(84, 57), (69, 175)]",01 - B,00 - M,11 - M,10 - B
"(69, 175)",2.0,"(5, 7)","[(89, 158), (69, 175)]",11 - M,10 - B,01 - B,00 - M
,2.0,"(6, 7)","[(122, 179), (69, 175)]",01 - B,10 - B,01 - B,10 - B
,3.0,"(0, 1, 2)","[(187, 199), (183, 160), (84, 57)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 3)","[(187, 199), (183, 160), (132, 143)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 1, 6)","[(187, 199), (183, 160), (122, 179)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 6, 7)","[(187, 199), (122, 179), (69, 175)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(1, 2, 3)","[(183, 160), (84, 57), (132, 143)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(2, 3, 4)","[(84, 57), (132, 143), (125, 153)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(2, 3, 5)","[(84, 57), (132, 143), (89, 158)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(2, 5, 7)","[(84, 57), (89, 158), (69, 175)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(5, 6, 7)","[(89, 158), (122, 179), (69, 175)]",101 - I,110 - I,001 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(187, 199), (183, 160), (84, 57), (132, 143)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(187, 199), (183, 160), (132, 143), (125, 153)]",0110 - B,0110 - B,1001 - B,1001 - B
,4.0,"(0, 1, 3, 6)","[(187, 199), (183, 160), (132, 143), (122, 179)]",0110 - B,0111 - I,1000 - I,1001 - B
,4.0,"(0, 1, 4, 6)","[(187, 199), (183, 160), (125, 153), (122, 179)]",0100 - I,0101 - B,1010 - B,1011 - I
,4.0,"(0, 1, 6, 7)","[(187, 199), (183, 160), (122, 179), (69, 175)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(187, 199), (89, 158), (122, 179), (69, 175)]",0101 - B,0110 - B,1001 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
