PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01100101,10011010
"(254, 120)",2.0,"(0, 1)","[(254, 120), (3, 40)]",01 - B,10 - B
"(3, 40)",2.0,"(0, 5)","[(254, 120), (153, 140)]",01 - B,10 - B
"(8, 141)",2.0,"(0, 7)","[(254, 120), (242, 216)]",01 - B,10 - B
"(2, 145)",2.0,"(1, 2)","[(3, 40), (8, 141)]",11 - M,00 - M
"(105, 138)",2.0,"(1, 3)","[(3, 40), (2, 145)]",10 - B,01 - B
"(153, 140)",2.0,"(2, 3)","[(8, 141), (2, 145)]",10 - B,01 - B
"(150, 144)",2.0,"(3, 7)","[(2, 145), (242, 216)]",01 - B,10 - B
"(242, 216)",2.0,"(6, 7)","[(150, 144), (242, 216)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(254, 120), (3, 40), (8, 141)]",011 - I,100 - I
,3.0,"(0, 1, 4)","[(254, 120), (3, 40), (105, 138)]",010 - I,101 - I
,3.0,"(0, 1, 5)","[(254, 120), (3, 40), (153, 140)]",011 - I,100 - I
,3.0,"(0, 5, 6)","[(254, 120), (153, 140), (150, 144)]",010 - I,101 - I
,3.0,"(0, 5, 7)","[(254, 120), (153, 140), (242, 216)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(254, 120), (150, 144), (242, 216)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(3, 40), (8, 141), (2, 145)]",110 - I,001 - I
,3.0,"(2, 3, 4)","[(8, 141), (2, 145), (105, 138)]",100 - I,011 - I
,3.0,"(2, 3, 7)","[(8, 141), (2, 145), (242, 216)]",101 - I,010 - I
,3.0,"(3, 6, 7)","[(2, 145), (150, 144), (242, 216)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(153, 140), (150, 144), (242, 216)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(254, 120), (3, 40), (8, 141), (2, 145)]",0110 - B,1001 - B
,4.0,"(0, 1, 2, 4)","[(254, 120), (3, 40), (8, 141), (105, 138)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 5)","[(254, 120), (3, 40), (105, 138), (153, 140)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(254, 120), (3, 40), (153, 140), (150, 144)]",0110 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(254, 120), (153, 140), (150, 144), (242, 216)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
