PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010110,01011001,10100110,10101001,10101100
"(239, 159)",2.0,"(0, 1)","[(239, 159), (253, 19)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(253, 19)",2.0,"(0, 6)","[(239, 159), (202, 181)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
"(3, 119)",2.0,"(0, 7)","[(239, 159), (133, 236)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(104, 193)",2.0,"(1, 2)","[(253, 19), (3, 119)]",10 - B,10 - B,10 - B,01 - B,01 - B,01 - B
"(152, 185)",2.0,"(2, 3)","[(3, 119), (104, 193)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(107, 205)",2.0,"(2, 5)","[(3, 119), (107, 205)]",00 - M,01 - B,00 - M,11 - M,10 - B,11 - M
"(202, 181)",2.0,"(2, 7)","[(3, 119), (133, 236)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(133, 236)",2.0,"(5, 7)","[(107, 205), (133, 236)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(202, 181), (133, 236)]",11 - M,10 - B,01 - B,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(239, 159), (253, 19), (3, 119)]",010 - I,010 - I,010 - I,101 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(239, 159), (253, 19), (202, 181)]",011 - I,011 - I,010 - I,101 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(239, 159), (202, 181), (133, 236)]",011 - I,010 - I,001 - I,110 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(253, 19), (3, 119), (104, 193)]",101 - I,101 - I,101 - I,010 - I,010 - I,010 - I
,3.0,"(2, 3, 5)","[(3, 119), (104, 193), (107, 205)]",010 - I,011 - I,010 - I,101 - I,100 - I,101 - I
,3.0,"(2, 5, 7)","[(3, 119), (107, 205), (133, 236)]",001 - I,010 - I,001 - I,110 - I,101 - I,110 - I
,3.0,"(3, 5, 7)","[(104, 193), (107, 205), (133, 236)]",101 - I,110 - I,101 - I,010 - I,001 - I,010 - I
,3.0,"(5, 6, 7)","[(107, 205), (202, 181), (133, 236)]",011 - I,110 - I,001 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(239, 159), (253, 19), (3, 119), (104, 193)]",0101 - B,0101 - B,0101 - B,1010 - B,1010 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(239, 159), (253, 19), (3, 119), (152, 185)]",0100 - I,0100 - I,0101 - B,1010 - B,1011 - I,1011 - I
,4.0,"(0, 1, 2, 6)","[(239, 159), (253, 19), (3, 119), (202, 181)]",0101 - B,0101 - B,0100 - I,1011 - I,1010 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(239, 159), (253, 19), (152, 185), (202, 181)]",0101 - B,0101 - B,0110 - B,1001 - B,1010 - B,1010 - B
,4.0,"(0, 1, 6, 7)","[(239, 159), (253, 19), (202, 181), (133, 236)]",0111 - I,0110 - B,0101 - B,1010 - B,1001 - B,1000 - I
,4.0,"(0, 4, 6, 7)","[(239, 159), (152, 185), (202, 181), (133, 236)]",0011 - B,0010 - I,0101 - B,1010 - B,1101 - I,1100 - B
,4.0,"(0, 5, 6, 7)","[(239, 159), (107, 205), (202, 181), (133, 236)]",0011 - B,0110 - B,0001 - I,1110 - I,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
