PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,01010110,10101001,10101010
"(56, 232)",2.0,"(0, 1)","[(56, 232), (251, 107)]",01 - B,01 - B,10 - B,10 - B
"(251, 107)",2.0,"(0, 3)","[(56, 232), (92, 185)]",01 - B,01 - B,10 - B,10 - B
"(201, 102)",2.0,"(0, 5)","[(56, 232), (50, 147)]",01 - B,01 - B,10 - B,10 - B
"(92, 185)",2.0,"(0, 6)","[(56, 232), (36, 126)]",00 - M,01 - B,10 - B,11 - M
"(66, 154)",2.0,"(0, 7)","[(56, 232), (4, 23)]",01 - B,00 - M,11 - M,10 - B
"(50, 147)",2.0,"(1, 2)","[(251, 107), (201, 102)]",10 - B,10 - B,01 - B,01 - B
"(36, 126)",2.0,"(1, 7)","[(251, 107), (4, 23)]",11 - M,10 - B,01 - B,00 - M
"(4, 23)",2.0,"(2, 7)","[(201, 102), (4, 23)]",01 - B,00 - M,11 - M,10 - B
,2.0,"(6, 7)","[(36, 126), (4, 23)]",01 - B,10 - B,01 - B,10 - B
,3.0,"(0, 1, 2)","[(56, 232), (251, 107), (201, 102)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 3)","[(56, 232), (251, 107), (92, 185)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 3, 4)","[(56, 232), (92, 185), (66, 154)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 3, 5)","[(56, 232), (92, 185), (50, 147)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 5, 6)","[(56, 232), (50, 147), (36, 126)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 6, 7)","[(56, 232), (36, 126), (4, 23)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(1, 2, 3)","[(251, 107), (201, 102), (92, 185)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(1, 2, 7)","[(251, 107), (201, 102), (4, 23)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(2, 6, 7)","[(201, 102), (36, 126), (4, 23)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(50, 147), (36, 126), (4, 23)]",101 - I,110 - I,001 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(56, 232), (251, 107), (201, 102), (92, 185)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(56, 232), (251, 107), (92, 185), (66, 154)]",0110 - B,0110 - B,1001 - B,1001 - B
,4.0,"(0, 3, 4, 5)","[(56, 232), (92, 185), (66, 154), (50, 147)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 3, 5, 6)","[(56, 232), (92, 185), (50, 147), (36, 126)]",0110 - B,0111 - I,1000 - I,1001 - B
,4.0,"(0, 4, 5, 6)","[(56, 232), (66, 154), (50, 147), (36, 126)]",0010 - I,0011 - B,1100 - B,1101 - I
,4.0,"(0, 5, 6, 7)","[(56, 232), (50, 147), (36, 126), (4, 23)]",0101 - B,0110 - B,1001 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
