PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001110,01010011,01010110,01011001,10100110,10101001,10101100,10110001
"(26, 102)",2.0,"(0, 1)","[(26, 102), (133, 171)]",01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B
"(133, 171)",2.0,"(0, 6)","[(26, 102), (54, 85)]",01 - B,01 - B,01 - B,00 - M,11 - M,10 - B,10 - B,10 - B
"(229, 207)",2.0,"(0, 7)","[(26, 102), (42, 48)]",00 - M,01 - B,00 - M,01 - B,10 - B,11 - M,10 - B,11 - M
"(208, 173)",2.0,"(1, 2)","[(133, 171), (229, 207)]",10 - B,10 - B,10 - B,10 - B,01 - B,01 - B,01 - B,01 - B
"(140, 139)",2.0,"(2, 3)","[(229, 207), (208, 173)]",00 - M,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,11 - M
"(226, 54)",2.0,"(2, 5)","[(229, 207), (226, 54)]",01 - B,00 - M,01 - B,00 - M,11 - M,10 - B,11 - M,10 - B
"(54, 85)",2.0,"(3, 5)","[(208, 173), (226, 54)]",01 - B,10 - B,11 - M,10 - B,01 - B,00 - M,01 - B,10 - B
"(42, 48)",2.0,"(5, 7)","[(226, 54), (42, 48)]",10 - B,01 - B,10 - B,01 - B,10 - B,01 - B,10 - B,01 - B
,2.0,"(6, 7)","[(54, 85), (42, 48)]",10 - B,11 - M,10 - B,01 - B,10 - B,01 - B,00 - M,01 - B
,3.0,"(0, 1, 2)","[(26, 102), (133, 171), (229, 207)]",010 - I,010 - I,010 - I,010 - I,101 - I,101 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(26, 102), (133, 171), (54, 85)]",011 - I,011 - I,011 - I,010 - I,101 - I,100 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(26, 102), (54, 85), (42, 48)]",010 - I,011 - I,010 - I,001 - I,110 - I,101 - I,100 - I,101 - I
,3.0,"(1, 2, 3)","[(133, 171), (229, 207), (208, 173)]",100 - I,101 - I,101 - I,101 - I,010 - I,010 - I,010 - I,011 - I
,3.0,"(2, 3, 5)","[(229, 207), (208, 173), (226, 54)]",001 - I,010 - I,011 - I,010 - I,101 - I,100 - I,101 - I,110 - I
,3.0,"(3, 5, 7)","[(208, 173), (226, 54), (42, 48)]",010 - I,101 - I,110 - I,101 - I,010 - I,001 - I,010 - I,101 - I
,3.0,"(5, 6, 7)","[(226, 54), (54, 85), (42, 48)]",110 - I,011 - I,110 - I,001 - I,110 - I,001 - I,100 - I,001 - I
,4.0,"(0, 1, 2, 3)","[(26, 102), (133, 171), (229, 207), (208, 173)]",0100 - I,0101 - B,0101 - B,0101 - B,1010 - B,1010 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(26, 102), (133, 171), (229, 207), (140, 139)]",0101 - B,0100 - I,0100 - I,0101 - B,1010 - B,1011 - I,1011 - I,1010 - B
,4.0,"(0, 1, 2, 6)","[(26, 102), (133, 171), (229, 207), (54, 85)]",0101 - B,0101 - B,0101 - B,0100 - I,1011 - I,1010 - B,1010 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(26, 102), (133, 171), (140, 139), (54, 85)]",0111 - I,0101 - B,0101 - B,0110 - B,1001 - B,1010 - B,1010 - B,1000 - I
,4.0,"(0, 1, 6, 7)","[(26, 102), (133, 171), (54, 85), (42, 48)]",0110 - B,0111 - I,0110 - B,0101 - B,1010 - B,1001 - B,1000 - I,1001 - B
,4.0,"(0, 4, 6, 7)","[(26, 102), (140, 139), (54, 85), (42, 48)]",0110 - B,0011 - B,0010 - I,0101 - B,1010 - B,1101 - I,1100 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(26, 102), (226, 54), (54, 85), (42, 48)]",0110 - B,0011 - B,0110 - B,0001 - I,1110 - I,1001 - B,1100 - B,1001 - B
,,,Total Balanced Sets,12,12,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,,,
