PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01100011,01100110,10011001,10011100
"(116, 230)",2.0,"(0, 1)","[(116, 230), (255, 60)]",01 - B,01 - B,10 - B,10 - B
"(255, 60)",2.0,"(0, 2)","[(116, 230), (174, 144)]",01 - B,01 - B,10 - B,10 - B
"(174, 144)",2.0,"(0, 6)","[(116, 230), (83, 141)]",01 - B,01 - B,10 - B,10 - B
"(140, 59)",2.0,"(0, 7)","[(116, 230), (7, 26)]",01 - B,00 - M,11 - M,10 - B
"(121, 138)",2.0,"(1, 2)","[(255, 60), (174, 144)]",11 - M,11 - M,00 - M,00 - M
"(100, 104)",2.0,"(1, 3)","[(255, 60), (140, 59)]",10 - B,10 - B,01 - B,01 - B
"(83, 141)",2.0,"(1, 7)","[(255, 60), (7, 26)]",11 - M,10 - B,01 - B,00 - M
"(7, 26)",2.0,"(3, 7)","[(140, 59), (7, 26)]",01 - B,00 - M,11 - M,10 - B
,2.0,"(5, 7)","[(100, 104), (7, 26)]",01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(83, 141), (7, 26)]",11 - M,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(116, 230), (255, 60), (174, 144)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 2, 4)","[(116, 230), (174, 144), (121, 138)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 2, 6)","[(116, 230), (174, 144), (83, 141)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 4, 6)","[(116, 230), (121, 138), (83, 141)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(0, 6, 7)","[(116, 230), (83, 141), (7, 26)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(255, 60), (174, 144), (140, 59)]",110 - I,110 - I,001 - I,001 - I
,3.0,"(1, 3, 7)","[(255, 60), (140, 59), (7, 26)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(3, 5, 7)","[(140, 59), (100, 104), (7, 26)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(100, 104), (83, 141), (7, 26)]",011 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(116, 230), (255, 60), (174, 144), (140, 59)]",0110 - B,0110 - B,1001 - B,1001 - B
,4.0,"(0, 1, 2, 4)","[(116, 230), (255, 60), (174, 144), (121, 138)]",0110 - B,0110 - B,1001 - B,1001 - B
,4.0,"(0, 2, 4, 6)","[(116, 230), (174, 144), (121, 138), (83, 141)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 4, 5, 6)","[(116, 230), (121, 138), (100, 104), (83, 141)]",0001 - I,0011 - B,1100 - B,1110 - I
,4.0,"(0, 4, 6, 7)","[(116, 230), (121, 138), (83, 141), (7, 26)]",0011 - B,0010 - I,1101 - I,1100 - B
,4.0,"(0, 5, 6, 7)","[(116, 230), (100, 104), (83, 141), (7, 26)]",0011 - B,0110 - B,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
