PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,10101100
"(183, 223)",2.0,"(0, 1)","[(183, 223), (198, 162)]",01 - B,10 - B
"(198, 162)",2.0,"(0, 6)","[(183, 223), (169, 182)]",01 - B,10 - B
"(204, 32)",2.0,"(0, 7)","[(183, 223), (52, 41)]",01 - B,10 - B
"(172, 82)",2.0,"(1, 2)","[(198, 162), (204, 32)]",10 - B,01 - B
"(161, 69)",2.0,"(2, 3)","[(204, 32), (172, 82)]",01 - B,10 - B
"(159, 114)",2.0,"(2, 4)","[(204, 32), (161, 69)]",00 - M,11 - M
"(169, 182)",2.0,"(2, 7)","[(204, 32), (52, 41)]",01 - B,10 - B
"(52, 41)",2.0,"(4, 7)","[(161, 69), (52, 41)]",01 - B,10 - B
,2.0,"(5, 7)","[(159, 114), (52, 41)]",01 - B,10 - B
,2.0,"(6, 7)","[(169, 182), (52, 41)]",11 - M,00 - M
,3.0,"(0, 1, 2)","[(183, 223), (198, 162), (204, 32)]",010 - I,101 - I
,3.0,"(0, 1, 6)","[(183, 223), (198, 162), (169, 182)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(183, 223), (169, 182), (52, 41)]",011 - I,100 - I
,3.0,"(1, 2, 3)","[(198, 162), (204, 32), (172, 82)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(204, 32), (172, 82), (161, 69)]",010 - I,101 - I
,3.0,"(2, 4, 7)","[(204, 32), (161, 69), (52, 41)]",001 - I,110 - I
,3.0,"(3, 4, 7)","[(172, 82), (161, 69), (52, 41)]",101 - I,010 - I
,3.0,"(4, 5, 7)","[(161, 69), (159, 114), (52, 41)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(159, 114), (169, 182), (52, 41)]",011 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(183, 223), (198, 162), (204, 32), (172, 82)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 6)","[(183, 223), (198, 162), (204, 32), (169, 182)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(183, 223), (198, 162), (159, 114), (169, 182)]",0101 - B,1010 - B
,4.0,"(0, 1, 6, 7)","[(183, 223), (198, 162), (169, 182), (52, 41)]",0111 - I,1000 - I
,4.0,"(0, 5, 6, 7)","[(183, 223), (159, 114), (169, 182), (52, 41)]",0011 - B,1100 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
