PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(14, 11)",2.0,"(0, 1)","[(14, 11), (18, 138)]",01 - B,10 - B
"(18, 138)",2.0,"(0, 6)","[(14, 11), (167, 35)]",00 - M,11 - M
"(45, 251)",2.0,"(0, 7)","[(14, 11), (237, 5)]",01 - B,10 - B
"(52, 215)",2.0,"(1, 2)","[(18, 138), (45, 251)]",10 - B,01 - B
"(55, 178)",2.0,"(2, 3)","[(45, 251), (52, 215)]",01 - B,10 - B
"(53, 132)",2.0,"(2, 7)","[(45, 251), (237, 5)]",01 - B,10 - B
"(167, 35)",2.0,"(6, 7)","[(167, 35), (237, 5)]",01 - B,10 - B
"(237, 5)",3.0,"(0, 1, 2)","[(14, 11), (18, 138), (45, 251)]",010 - I,101 - I
,3.0,"(0, 1, 5)","[(14, 11), (18, 138), (53, 132)]",011 - I,100 - I
,3.0,"(0, 1, 6)","[(14, 11), (18, 138), (167, 35)]",010 - I,101 - I
,3.0,"(0, 6, 7)","[(14, 11), (167, 35), (237, 5)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(18, 138), (45, 251), (52, 215)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(45, 251), (52, 215), (55, 178)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(45, 251), (52, 215), (237, 5)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(45, 251), (167, 35), (237, 5)]",001 - I,110 - I
,3.0,"(3, 6, 7)","[(52, 215), (167, 35), (237, 5)]",101 - I,010 - I
,3.0,"(4, 6, 7)","[(55, 178), (167, 35), (237, 5)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(53, 132), (167, 35), (237, 5)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(14, 11), (18, 138), (45, 251), (52, 215)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 5)","[(14, 11), (18, 138), (45, 251), (53, 132)]",0101 - B,1010 - B
,4.0,"(0, 1, 4, 5)","[(14, 11), (18, 138), (55, 178), (53, 132)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(14, 11), (18, 138), (53, 132), (167, 35)]",0110 - B,1001 - B
,4.0,"(0, 1, 6, 7)","[(14, 11), (18, 138), (167, 35), (237, 5)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(14, 11), (53, 132), (167, 35), (237, 5)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
