PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001110,01011010,01100101,10011010,10100101,10110001
"(87, 207)",2.0,"(0, 1)","[(87, 207), (182, 196)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(182, 196)",2.0,"(0, 6)","[(87, 207), (58, 172)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
"(176, 175)",2.0,"(0, 7)","[(87, 207), (18, 140)]",00 - M,00 - M,01 - B,10 - B,11 - M,11 - M
"(215, 67)",2.0,"(1, 2)","[(182, 196), (176, 175)]",10 - B,10 - B,11 - M,00 - M,01 - B,01 - B
"(113, 152)",2.0,"(1, 3)","[(182, 196), (215, 67)]",10 - B,11 - M,10 - B,01 - B,00 - M,01 - B
"(97, 127)",2.0,"(2, 3)","[(176, 175), (215, 67)]",00 - M,01 - B,10 - B,01 - B,10 - B,11 - M
"(58, 172)",2.0,"(3, 5)","[(215, 67), (97, 127)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
"(18, 140)",2.0,"(3, 7)","[(215, 67), (18, 140)]",00 - M,10 - B,01 - B,10 - B,01 - B,11 - M
,2.0,"(5, 7)","[(97, 127), (18, 140)]",10 - B,00 - M,11 - M,00 - M,11 - M,01 - B
,2.0,"(6, 7)","[(58, 172), (18, 140)]",10 - B,10 - B,01 - B,10 - B,01 - B,01 - B
,3.0,"(0, 1, 2)","[(87, 207), (182, 196), (176, 175)]",010 - I,010 - I,011 - I,100 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(87, 207), (182, 196), (58, 172)]",011 - I,011 - I,010 - I,101 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(87, 207), (58, 172), (18, 140)]",010 - I,010 - I,001 - I,110 - I,101 - I,101 - I
,3.0,"(1, 2, 3)","[(182, 196), (176, 175), (215, 67)]",100 - I,101 - I,110 - I,001 - I,010 - I,011 - I
,3.0,"(2, 3, 5)","[(176, 175), (215, 67), (97, 127)]",001 - I,010 - I,101 - I,010 - I,101 - I,110 - I
,3.0,"(3, 4, 5)","[(215, 67), (113, 152), (97, 127)]",011 - I,110 - I,001 - I,110 - I,001 - I,100 - I
,3.0,"(3, 5, 7)","[(215, 67), (97, 127), (18, 140)]",010 - I,100 - I,011 - I,100 - I,011 - I,101 - I
,3.0,"(5, 6, 7)","[(97, 127), (58, 172), (18, 140)]",110 - I,010 - I,101 - I,010 - I,101 - I,001 - I
,4.0,"(0, 1, 2, 3)","[(87, 207), (182, 196), (176, 175), (215, 67)]",0100 - I,0101 - B,0110 - B,1001 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(87, 207), (182, 196), (176, 175), (113, 152)]",0101 - B,0101 - B,0110 - B,1001 - B,1010 - B,1010 - B
,4.0,"(0, 1, 2, 6)","[(87, 207), (182, 196), (176, 175), (58, 172)]",0101 - B,0101 - B,0110 - B,1001 - B,1010 - B,1010 - B
,4.0,"(0, 1, 6, 7)","[(87, 207), (182, 196), (58, 172), (18, 140)]",0110 - B,0110 - B,0101 - B,1010 - B,1001 - B,1001 - B
,4.0,"(0, 4, 6, 7)","[(87, 207), (113, 152), (58, 172), (18, 140)]",0110 - B,0110 - B,0001 - I,1110 - I,1001 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(87, 207), (97, 127), (58, 172), (18, 140)]",0110 - B,0010 - I,0101 - B,1010 - B,1101 - I,1001 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
