PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010110,10101001,10101100
"(72, 211)",2.0,"(0, 1)","[(72, 211), (231, 148)]",01 - B,01 - B,10 - B,10 - B
"(231, 148)",2.0,"(0, 3)","[(72, 211), (141, 154)]",01 - B,01 - B,10 - B,10 - B
"(188, 132)",2.0,"(0, 6)","[(72, 211), (113, 135)]",01 - B,01 - B,10 - B,10 - B
"(141, 154)",2.0,"(0, 7)","[(72, 211), (25, 44)]",01 - B,00 - M,11 - M,10 - B
"(136, 142)",2.0,"(1, 2)","[(231, 148), (188, 132)]",10 - B,10 - B,01 - B,01 - B
"(140, 127)",2.0,"(1, 7)","[(231, 148), (25, 44)]",11 - M,10 - B,01 - B,00 - M
"(113, 135)",2.0,"(2, 7)","[(188, 132), (25, 44)]",01 - B,00 - M,11 - M,10 - B
"(25, 44)",2.0,"(5, 7)","[(140, 127), (25, 44)]",01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(113, 135), (25, 44)]",11 - M,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(72, 211), (231, 148), (188, 132)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 3)","[(72, 211), (231, 148), (141, 154)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 3, 4)","[(72, 211), (141, 154), (136, 142)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 3, 6)","[(72, 211), (141, 154), (113, 135)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(72, 211), (113, 135), (25, 44)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(231, 148), (188, 132), (141, 154)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(1, 2, 5)","[(231, 148), (188, 132), (140, 127)]",100 - I,101 - I,010 - I,011 - I
,3.0,"(1, 2, 7)","[(231, 148), (188, 132), (25, 44)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(2, 5, 7)","[(188, 132), (140, 127), (25, 44)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(140, 127), (113, 135), (25, 44)]",011 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(72, 211), (231, 148), (188, 132), (141, 154)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(72, 211), (231, 148), (141, 154), (136, 142)]",0110 - B,0110 - B,1001 - B,1001 - B
,4.0,"(0, 3, 4, 6)","[(72, 211), (141, 154), (136, 142), (113, 135)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 3, 6, 7)","[(72, 211), (141, 154), (113, 135), (25, 44)]",0111 - I,0110 - B,1001 - B,1000 - I
,4.0,"(0, 4, 6, 7)","[(72, 211), (136, 142), (113, 135), (25, 44)]",0011 - B,0010 - I,1101 - I,1100 - B
,4.0,"(0, 5, 6, 7)","[(72, 211), (140, 127), (113, 135), (25, 44)]",0011 - B,0110 - B,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
