PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,01011001,10100110,10101010
"(244, 242)",2.0,"(0, 1)","[(244, 242), (246, 214)]",01 - B,01 - B,10 - B,10 - B
"(246, 214)",2.0,"(0, 4)","[(244, 242), (230, 217)]",00 - M,01 - B,10 - B,11 - M
"(207, 14)",2.0,"(0, 7)","[(244, 242), (10, 46)]",01 - B,01 - B,10 - B,10 - B
"(205, 43)",2.0,"(1, 2)","[(246, 214), (207, 14)]",10 - B,10 - B,01 - B,01 - B
"(230, 217)",2.0,"(2, 3)","[(207, 14), (205, 43)]",01 - B,01 - B,10 - B,10 - B
"(162, 146)",2.0,"(2, 7)","[(207, 14), (10, 46)]",01 - B,01 - B,10 - B,10 - B
"(84, 74)",2.0,"(6, 7)","[(84, 74), (10, 46)]",01 - B,01 - B,10 - B,10 - B
"(10, 46)",3.0,"(0, 1, 2)","[(244, 242), (246, 214), (207, 14)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(244, 242), (246, 214), (230, 217)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 4, 7)","[(244, 242), (230, 217), (10, 46)]",001 - I,011 - I,100 - I,110 - I
,3.0,"(0, 6, 7)","[(244, 242), (84, 74), (10, 46)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(1, 2, 3)","[(246, 214), (207, 14), (205, 43)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(2, 3, 6)","[(207, 14), (205, 43), (84, 74)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(2, 3, 7)","[(207, 14), (205, 43), (10, 46)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(2, 6, 7)","[(207, 14), (84, 74), (10, 46)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(5, 6, 7)","[(162, 146), (84, 74), (10, 46)]",101 - I,001 - I,110 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(244, 242), (246, 214), (207, 14), (205, 43)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(244, 242), (246, 214), (207, 14), (230, 217)]",0100 - I,0101 - B,1010 - B,1011 - I
,4.0,"(0, 1, 3, 4)","[(244, 242), (246, 214), (205, 43), (230, 217)]",0110 - B,0111 - I,1000 - I,1001 - B
,4.0,"(0, 1, 4, 5)","[(244, 242), (246, 214), (230, 217), (162, 146)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 1, 4, 7)","[(244, 242), (246, 214), (230, 217), (10, 46)]",0101 - B,0111 - I,1000 - I,1010 - B
,4.0,"(0, 4, 5, 7)","[(244, 242), (230, 217), (162, 146), (10, 46)]",0011 - B,0101 - B,1010 - B,1100 - B
,4.0,"(0, 4, 6, 7)","[(244, 242), (230, 217), (84, 74), (10, 46)]",0001 - I,0101 - B,1010 - B,1110 - I
,4.0,"(0, 5, 6, 7)","[(244, 242), (162, 146), (84, 74), (10, 46)]",0101 - B,0001 - I,1110 - I,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
