PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(119, 13)",2.0,"(0, 1)","[(119, 13), (37, 102)]",01 - B,10 - B
"(37, 102)",2.0,"(0, 5)","[(119, 13), (163, 136)]",01 - B,10 - B
"(120, 243)",2.0,"(0, 7)","[(119, 13), (236, 175)]",01 - B,10 - B
"(133, 197)",2.0,"(1, 2)","[(37, 102), (120, 243)]",10 - B,01 - B
"(139, 149)",2.0,"(2, 3)","[(120, 243), (133, 197)]",01 - B,10 - B
"(163, 136)",2.0,"(2, 6)","[(120, 243), (197, 190)]",00 - M,11 - M
"(197, 190)",2.0,"(2, 7)","[(120, 243), (236, 175)]",01 - B,10 - B
"(236, 175)",2.0,"(6, 7)","[(197, 190), (236, 175)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(119, 13), (37, 102), (120, 243)]",010 - I,101 - I
,3.0,"(0, 1, 4)","[(119, 13), (37, 102), (139, 149)]",010 - I,101 - I
,3.0,"(0, 1, 5)","[(119, 13), (37, 102), (163, 136)]",011 - I,100 - I
,3.0,"(0, 5, 7)","[(119, 13), (163, 136), (236, 175)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(119, 13), (197, 190), (236, 175)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(37, 102), (120, 243), (133, 197)]",101 - I,010 - I
,3.0,"(2, 3, 6)","[(120, 243), (133, 197), (197, 190)]",010 - I,101 - I
,3.0,"(2, 6, 7)","[(120, 243), (197, 190), (236, 175)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(163, 136), (197, 190), (236, 175)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(119, 13), (37, 102), (120, 243), (133, 197)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(119, 13), (37, 102), (120, 243), (139, 149)]",0100 - I,1011 - I
,4.0,"(0, 1, 3, 4)","[(119, 13), (37, 102), (133, 197), (139, 149)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 5)","[(119, 13), (37, 102), (139, 149), (163, 136)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 7)","[(119, 13), (37, 102), (163, 136), (236, 175)]",0111 - I,1000 - I
,4.0,"(0, 4, 5, 7)","[(119, 13), (139, 149), (163, 136), (236, 175)]",0011 - B,1100 - B
,4.0,"(0, 5, 6, 7)","[(119, 13), (163, 136), (197, 190), (236, 175)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
