PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(242, 51)",2.0,"(0, 1)","[(242, 51), (211, 45)]",01 - B,10 - B
"(211, 45)",2.0,"(0, 7)","[(242, 51), (131, 211)]",01 - B,10 - B
"(13, 169)",2.0,"(1, 2)","[(211, 45), (13, 169)]",10 - B,01 - B
"(97, 142)",2.0,"(2, 3)","[(13, 169), (97, 142)]",01 - B,10 - B
"(76, 180)",2.0,"(2, 4)","[(13, 169), (76, 180)]",00 - M,11 - M
"(115, 170)",2.0,"(2, 7)","[(13, 169), (131, 211)]",01 - B,10 - B
"(127, 179)",2.0,"(4, 7)","[(76, 180), (131, 211)]",01 - B,10 - B
"(131, 211)",2.0,"(6, 7)","[(127, 179), (131, 211)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(242, 51), (211, 45), (13, 169)]",010 - I,101 - I
,3.0,"(0, 1, 3)","[(242, 51), (211, 45), (97, 142)]",011 - I,100 - I
,3.0,"(0, 1, 6)","[(242, 51), (211, 45), (127, 179)]",010 - I,101 - I
,3.0,"(0, 1, 7)","[(242, 51), (211, 45), (131, 211)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(242, 51), (127, 179), (131, 211)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(211, 45), (13, 169), (97, 142)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(13, 169), (97, 142), (76, 180)]",010 - I,101 - I
,3.0,"(2, 4, 7)","[(13, 169), (76, 180), (131, 211)]",001 - I,110 - I
,3.0,"(4, 6, 7)","[(76, 180), (127, 179), (131, 211)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(115, 170), (127, 179), (131, 211)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(242, 51), (211, 45), (13, 169), (97, 142)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 5)","[(242, 51), (211, 45), (97, 142), (115, 170)]",0111 - I,1000 - I
,4.0,"(0, 1, 3, 6)","[(242, 51), (211, 45), (97, 142), (127, 179)]",0110 - B,1001 - B
,4.0,"(0, 1, 5, 6)","[(242, 51), (211, 45), (115, 170), (127, 179)]",0110 - B,1001 - B
,4.0,"(0, 1, 6, 7)","[(242, 51), (211, 45), (127, 179), (131, 211)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(242, 51), (115, 170), (127, 179), (131, 211)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
