PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,00110011,01001110,01100011,10011100,10110001,11001100
"(70, 201)",2.0,"(0, 1)","[(70, 201), (251, 174)]",00 - M,01 - B,01 - B,10 - B,10 - B,11 - M
"(251, 174)",2.0,"(0, 2)","[(70, 201), (155, 173)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(155, 173)",2.0,"(0, 6)","[(70, 201), (56, 156)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(185, 154)",2.0,"(0, 7)","[(70, 201), (4, 55)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(154, 160)",2.0,"(1, 2)","[(251, 174), (155, 173)]",01 - B,10 - B,11 - M,00 - M,01 - B,10 - B
"(57, 135)",2.0,"(1, 3)","[(251, 174), (185, 154)]",01 - B,10 - B,10 - B,01 - B,01 - B,10 - B
"(56, 156)",2.0,"(1, 7)","[(251, 174), (4, 55)]",01 - B,10 - B,11 - M,00 - M,01 - B,10 - B
"(4, 55)",2.0,"(3, 7)","[(185, 154), (4, 55)]",11 - M,00 - M,01 - B,10 - B,11 - M,00 - M
,2.0,"(5, 7)","[(57, 135), (4, 55)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(56, 156), (4, 55)]",11 - M,10 - B,11 - M,00 - M,01 - B,00 - M
,3.0,"(0, 1, 2)","[(70, 201), (251, 174), (155, 173)]",001 - I,010 - I,011 - I,100 - I,101 - I,110 - I
,3.0,"(0, 2, 6)","[(70, 201), (155, 173), (56, 156)]",011 - I,001 - I,011 - I,100 - I,110 - I,100 - I
,3.0,"(0, 5, 6)","[(70, 201), (57, 135), (56, 156)]",001 - I,011 - I,001 - I,110 - I,100 - I,110 - I
,3.0,"(0, 6, 7)","[(70, 201), (56, 156), (4, 55)]",011 - I,010 - I,011 - I,100 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(251, 174), (155, 173), (185, 154)]",011 - I,100 - I,110 - I,001 - I,011 - I,100 - I
,3.0,"(1, 3, 4)","[(251, 174), (185, 154), (154, 160)]",010 - I,101 - I,100 - I,011 - I,010 - I,101 - I
,3.0,"(1, 3, 7)","[(251, 174), (185, 154), (4, 55)]",011 - I,100 - I,101 - I,010 - I,011 - I,100 - I
,3.0,"(3, 5, 7)","[(185, 154), (57, 135), (4, 55)]",101 - I,010 - I,001 - I,110 - I,101 - I,010 - I
,3.0,"(5, 6, 7)","[(57, 135), (56, 156), (4, 55)]",011 - I,110 - I,011 - I,100 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(70, 201), (251, 174), (155, 173), (185, 154)]",0011 - B,0100 - I,0110 - B,1001 - B,1011 - I,1100 - B
,4.0,"(0, 1, 2, 4)","[(70, 201), (251, 174), (155, 173), (154, 160)]",0010 - I,0101 - B,0110 - B,1001 - B,1010 - B,1101 - I
,4.0,"(0, 1, 2, 6)","[(70, 201), (251, 174), (155, 173), (56, 156)]",0011 - B,0101 - B,0111 - I,1000 - I,1010 - B,1100 - B
,4.0,"(0, 2, 4, 6)","[(70, 201), (155, 173), (154, 160), (56, 156)]",0101 - B,0011 - B,0101 - B,1010 - B,1100 - B,1010 - B
,4.0,"(0, 2, 5, 6)","[(70, 201), (155, 173), (57, 135), (56, 156)]",0101 - B,0011 - B,0101 - B,1010 - B,1100 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(70, 201), (57, 135), (56, 156), (4, 55)]",0011 - B,0110 - B,0011 - B,1100 - B,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
