PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001011,01010110,10101001,10110100
"(111, 223)",2.0,"(0, 1)","[(111, 223), (247, 51)]",01 - B,01 - B,10 - B,10 - B
"(247, 51)",2.0,"(0, 6)","[(111, 223), (102, 189)]",01 - B,01 - B,10 - B,10 - B
"(195, 55)",2.0,"(0, 7)","[(111, 223), (8, 32)]",01 - B,00 - M,11 - M,10 - B
"(161, 68)",2.0,"(1, 2)","[(247, 51), (195, 55)]",10 - B,10 - B,01 - B,01 - B
"(137, 131)",2.0,"(1, 7)","[(247, 51), (8, 32)]",11 - M,10 - B,01 - B,00 - M
"(106, 161)",2.0,"(2, 7)","[(195, 55), (8, 32)]",01 - B,00 - M,11 - M,10 - B
"(102, 189)",2.0,"(3, 7)","[(161, 68), (8, 32)]",01 - B,10 - B,01 - B,10 - B
"(8, 32)",2.0,"(5, 7)","[(106, 161), (8, 32)]",01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(102, 189), (8, 32)]",11 - M,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(111, 223), (247, 51), (195, 55)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(111, 223), (247, 51), (102, 189)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 5, 6)","[(111, 223), (106, 161), (102, 189)]",001 - I,011 - I,100 - I,110 - I
,3.0,"(0, 6, 7)","[(111, 223), (102, 189), (8, 32)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(247, 51), (195, 55), (161, 68)]",100 - I,101 - I,010 - I,011 - I
,3.0,"(1, 2, 7)","[(247, 51), (195, 55), (8, 32)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(2, 3, 7)","[(195, 55), (161, 68), (8, 32)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(3, 5, 7)","[(161, 68), (106, 161), (8, 32)]",001 - I,110 - I,001 - I,110 - I
,3.0,"(5, 6, 7)","[(106, 161), (102, 189), (8, 32)]",011 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(111, 223), (247, 51), (195, 55), (161, 68)]",0100 - I,0101 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(111, 223), (247, 51), (195, 55), (137, 131)]",0101 - B,0100 - I,1011 - I,1010 - B
,4.0,"(0, 1, 2, 6)","[(111, 223), (247, 51), (195, 55), (102, 189)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(111, 223), (247, 51), (137, 131), (102, 189)]",0111 - I,0101 - B,1010 - B,1000 - I
,4.0,"(0, 1, 5, 6)","[(111, 223), (247, 51), (106, 161), (102, 189)]",0101 - B,0111 - I,1000 - I,1010 - B
,4.0,"(0, 4, 5, 6)","[(111, 223), (137, 131), (106, 161), (102, 189)]",0101 - B,0011 - B,1100 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(111, 223), (106, 161), (102, 189), (8, 32)]",0011 - B,0110 - B,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
