PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010110,10101001
"(142, 254)",2.0,"(0, 1)","[(142, 254), (253, 154)]",01 - B,10 - B
"(253, 154)",2.0,"(0, 5)","[(142, 254), (141, 240)]",01 - B,10 - B
"(222, 172)",2.0,"(0, 6)","[(142, 254), (134, 234)]",01 - B,10 - B
"(204, 152)",2.0,"(0, 7)","[(142, 254), (3, 2)]",00 - M,11 - M
"(158, 222)",2.0,"(1, 2)","[(253, 154), (222, 172)]",10 - B,01 - B
"(141, 240)",2.0,"(1, 3)","[(253, 154), (204, 152)]",11 - M,00 - M
"(134, 234)",2.0,"(1, 7)","[(253, 154), (3, 2)]",10 - B,01 - B
"(3, 2)",2.0,"(3, 7)","[(204, 152), (3, 2)]",10 - B,01 - B
,2.0,"(6, 7)","[(134, 234), (3, 2)]",10 - B,01 - B
,3.0,"(0, 1, 2)","[(142, 254), (253, 154), (222, 172)]",010 - I,101 - I
,3.0,"(0, 1, 5)","[(142, 254), (253, 154), (141, 240)]",011 - I,100 - I
,3.0,"(0, 4, 5)","[(142, 254), (158, 222), (141, 240)]",001 - I,110 - I
,3.0,"(0, 5, 6)","[(142, 254), (141, 240), (134, 234)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(142, 254), (134, 234), (3, 2)]",010 - I,101 - I
,3.0,"(1, 2, 3)","[(253, 154), (222, 172), (204, 152)]",101 - I,010 - I
,3.0,"(1, 3, 7)","[(253, 154), (204, 152), (3, 2)]",110 - I,001 - I
,3.0,"(2, 3, 7)","[(222, 172), (204, 152), (3, 2)]",010 - I,101 - I
,3.0,"(3, 6, 7)","[(204, 152), (134, 234), (3, 2)]",110 - I,001 - I
,3.0,"(5, 6, 7)","[(141, 240), (134, 234), (3, 2)]",110 - I,001 - I
,4.0,"(0, 1, 2, 3)","[(142, 254), (253, 154), (222, 172), (204, 152)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(142, 254), (253, 154), (222, 172), (158, 222)]",0100 - I,1011 - I
,4.0,"(0, 1, 2, 5)","[(142, 254), (253, 154), (222, 172), (141, 240)]",0101 - B,1010 - B
,4.0,"(0, 1, 4, 5)","[(142, 254), (253, 154), (158, 222), (141, 240)]",0101 - B,1010 - B
,4.0,"(0, 4, 5, 6)","[(142, 254), (158, 222), (141, 240), (134, 234)]",0011 - B,1100 - B
,4.0,"(0, 5, 6, 7)","[(142, 254), (141, 240), (134, 234), (3, 2)]",0110 - B,1001 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
