PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(47, 26)",2.0,"(0, 1)","[(47, 26), (17, 143)]",01 - B,10 - B
"(17, 143)",2.0,"(0, 7)","[(47, 26), (238, 57)]",01 - B,10 - B
"(78, 248)",2.0,"(1, 2)","[(17, 143), (78, 248)]",10 - B,01 - B
"(71, 157)",2.0,"(2, 3)","[(78, 248), (71, 157)]",01 - B,10 - B
"(74, 135)",2.0,"(2, 6)","[(78, 248), (93, 154)]",00 - M,11 - M
"(82, 140)",2.0,"(2, 7)","[(78, 248), (238, 57)]",01 - B,10 - B
"(93, 154)",2.0,"(6, 7)","[(93, 154), (238, 57)]",01 - B,10 - B
"(238, 57)",3.0,"(0, 1, 2)","[(47, 26), (17, 143), (78, 248)]",010 - I,101 - I
,3.0,"(0, 1, 3)","[(47, 26), (17, 143), (71, 157)]",011 - I,100 - I
,3.0,"(0, 1, 4)","[(47, 26), (17, 143), (74, 135)]",010 - I,101 - I
,3.0,"(0, 1, 7)","[(47, 26), (17, 143), (238, 57)]",011 - I,100 - I
,3.0,"(0, 4, 7)","[(47, 26), (74, 135), (238, 57)]",001 - I,110 - I
,3.0,"(0, 5, 7)","[(47, 26), (82, 140), (238, 57)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(47, 26), (93, 154), (238, 57)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(17, 143), (78, 248), (71, 157)]",101 - I,010 - I
,3.0,"(2, 3, 6)","[(78, 248), (71, 157), (93, 154)]",010 - I,101 - I
,3.0,"(2, 6, 7)","[(78, 248), (93, 154), (238, 57)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(82, 140), (93, 154), (238, 57)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(47, 26), (17, 143), (78, 248), (71, 157)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(47, 26), (17, 143), (71, 157), (74, 135)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 5)","[(47, 26), (17, 143), (74, 135), (82, 140)]",0101 - B,1010 - B
,4.0,"(0, 1, 4, 7)","[(47, 26), (17, 143), (74, 135), (238, 57)]",0101 - B,1010 - B
,4.0,"(0, 4, 5, 7)","[(47, 26), (74, 135), (82, 140), (238, 57)]",0011 - B,1100 - B
,4.0,"(0, 5, 6, 7)","[(47, 26), (82, 140), (93, 154), (238, 57)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
