PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,00110011,00110110,01101001,10010110,11001001,11001100
"(140, 176)",2.0,"(0, 1)","[(140, 176), (218, 133)]",00 - M,00 - M,01 - B,10 - B,11 - M,11 - M
"(218, 133)",2.0,"(0, 2)","[(140, 176), (151, 165)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(151, 165)",2.0,"(0, 6)","[(140, 176), (114, 144)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
"(164, 124)",2.0,"(0, 7)","[(140, 176), (38, 79)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(123, 137)",2.0,"(1, 2)","[(218, 133), (151, 165)]",01 - B,01 - B,11 - M,00 - M,10 - B,10 - B
"(112, 121)",2.0,"(1, 3)","[(218, 133), (164, 124)]",01 - B,01 - B,10 - B,01 - B,10 - B,10 - B
"(114, 144)",2.0,"(1, 7)","[(218, 133), (38, 79)]",01 - B,00 - M,11 - M,00 - M,11 - M,10 - B
"(38, 79)",2.0,"(3, 7)","[(164, 124), (38, 79)]",11 - M,10 - B,01 - B,10 - B,01 - B,00 - M
,2.0,"(5, 7)","[(112, 121), (38, 79)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(114, 144), (38, 79)]",11 - M,10 - B,01 - B,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(140, 176), (218, 133), (151, 165)]",001 - I,001 - I,011 - I,100 - I,110 - I,110 - I
,3.0,"(0, 2, 6)","[(140, 176), (151, 165), (114, 144)]",011 - I,011 - I,010 - I,101 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(140, 176), (114, 144), (38, 79)]",011 - I,010 - I,001 - I,110 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(218, 133), (151, 165), (164, 124)]",011 - I,011 - I,110 - I,001 - I,100 - I,100 - I
,3.0,"(1, 3, 5)","[(218, 133), (164, 124), (112, 121)]",010 - I,011 - I,100 - I,011 - I,100 - I,101 - I
,3.0,"(1, 3, 7)","[(218, 133), (164, 124), (38, 79)]",011 - I,010 - I,101 - I,010 - I,101 - I,100 - I
,3.0,"(3, 5, 7)","[(164, 124), (112, 121), (38, 79)]",101 - I,110 - I,001 - I,110 - I,001 - I,010 - I
,3.0,"(4, 5, 7)","[(123, 137), (112, 121), (38, 79)]",001 - I,010 - I,101 - I,010 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(112, 121), (114, 144), (38, 79)]",011 - I,110 - I,001 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(140, 176), (218, 133), (151, 165), (164, 124)]",0011 - B,0011 - B,0110 - B,1001 - B,1100 - B,1100 - B
,4.0,"(0, 1, 2, 6)","[(140, 176), (218, 133), (151, 165), (114, 144)]",0011 - B,0011 - B,0110 - B,1001 - B,1100 - B,1100 - B
,4.0,"(0, 2, 4, 6)","[(140, 176), (151, 165), (123, 137), (114, 144)]",0101 - B,0101 - B,0110 - B,1001 - B,1010 - B,1010 - B
,4.0,"(0, 2, 6, 7)","[(140, 176), (151, 165), (114, 144), (38, 79)]",0111 - I,0110 - B,0101 - B,1010 - B,1001 - B,1000 - I
,4.0,"(0, 4, 6, 7)","[(140, 176), (123, 137), (114, 144), (38, 79)]",0011 - B,0010 - I,0101 - B,1010 - B,1101 - I,1100 - B
,4.0,"(0, 5, 6, 7)","[(140, 176), (112, 121), (114, 144), (38, 79)]",0011 - B,0110 - B,0001 - I,1110 - I,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
