PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010110,01011001,10100110,10101001,10101100
"(187, 210)",2.0,"(0, 1)","[(187, 210), (238, 45)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(238, 45)",2.0,"(0, 6)","[(187, 210), (137, 198)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
"(5, 76)",2.0,"(0, 7)","[(187, 210), (54, 193)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(59, 135)",2.0,"(1, 2)","[(238, 45), (5, 76)]",10 - B,10 - B,10 - B,01 - B,01 - B,01 - B
"(74, 161)",2.0,"(2, 3)","[(5, 76), (59, 135)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(50, 160)",2.0,"(2, 5)","[(5, 76), (50, 160)]",00 - M,01 - B,00 - M,11 - M,10 - B,11 - M
"(137, 198)",2.0,"(2, 7)","[(5, 76), (54, 193)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(54, 193)",2.0,"(5, 7)","[(50, 160), (54, 193)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(137, 198), (54, 193)]",11 - M,10 - B,01 - B,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(187, 210), (238, 45), (5, 76)]",010 - I,010 - I,010 - I,101 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(187, 210), (238, 45), (137, 198)]",011 - I,011 - I,010 - I,101 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(187, 210), (137, 198), (54, 193)]",011 - I,010 - I,001 - I,110 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(238, 45), (5, 76), (59, 135)]",101 - I,101 - I,101 - I,010 - I,010 - I,010 - I
,3.0,"(2, 3, 5)","[(5, 76), (59, 135), (50, 160)]",010 - I,011 - I,010 - I,101 - I,100 - I,101 - I
,3.0,"(2, 5, 7)","[(5, 76), (50, 160), (54, 193)]",001 - I,010 - I,001 - I,110 - I,101 - I,110 - I
,3.0,"(4, 5, 7)","[(74, 161), (50, 160), (54, 193)]",001 - I,010 - I,101 - I,010 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(50, 160), (137, 198), (54, 193)]",011 - I,110 - I,001 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(187, 210), (238, 45), (5, 76), (59, 135)]",0101 - B,0101 - B,0101 - B,1010 - B,1010 - B,1010 - B
,4.0,"(0, 1, 2, 6)","[(187, 210), (238, 45), (5, 76), (137, 198)]",0101 - B,0101 - B,0100 - I,1011 - I,1010 - B,1010 - B
,4.0,"(0, 1, 3, 6)","[(187, 210), (238, 45), (59, 135), (137, 198)]",0111 - I,0111 - I,0110 - B,1001 - B,1000 - I,1000 - I
,4.0,"(0, 1, 4, 6)","[(187, 210), (238, 45), (74, 161), (137, 198)]",0101 - B,0101 - B,0110 - B,1001 - B,1010 - B,1010 - B
,4.0,"(0, 1, 6, 7)","[(187, 210), (238, 45), (137, 198), (54, 193)]",0111 - I,0110 - B,0101 - B,1010 - B,1001 - B,1000 - I
,4.0,"(0, 4, 6, 7)","[(187, 210), (74, 161), (137, 198), (54, 193)]",0011 - B,0010 - I,0101 - B,1010 - B,1101 - I,1100 - B
,4.0,"(0, 5, 6, 7)","[(187, 210), (50, 160), (137, 198), (54, 193)]",0011 - B,0110 - B,0001 - I,1110 - I,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
