PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(8, 29)",2.0,"(0, 1)","[(8, 29), (129, 196)]",01 - B,10 - B
"(129, 196)",2.0,"(0, 5)","[(8, 29), (132, 116)]",01 - B,10 - B
"(183, 237)",2.0,"(0, 7)","[(8, 29), (254, 84)]",01 - B,10 - B
"(157, 194)",2.0,"(1, 2)","[(129, 196), (183, 237)]",10 - B,01 - B
"(155, 180)",2.0,"(2, 3)","[(183, 237), (157, 194)]",01 - B,10 - B
"(132, 116)",2.0,"(2, 7)","[(183, 237), (254, 84)]",01 - B,10 - B
"(228, 101)",2.0,"(6, 7)","[(228, 101), (254, 84)]",01 - B,10 - B
"(254, 84)",3.0,"(0, 1, 2)","[(8, 29), (129, 196), (183, 237)]",010 - I,101 - I
,3.0,"(0, 1, 3)","[(8, 29), (129, 196), (157, 194)]",011 - I,100 - I
,3.0,"(0, 1, 5)","[(8, 29), (129, 196), (132, 116)]",011 - I,100 - I
,3.0,"(0, 5, 6)","[(8, 29), (132, 116), (228, 101)]",010 - I,101 - I
,3.0,"(0, 5, 7)","[(8, 29), (132, 116), (254, 84)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(8, 29), (228, 101), (254, 84)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(129, 196), (183, 237), (157, 194)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(183, 237), (157, 194), (155, 180)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(183, 237), (157, 194), (254, 84)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(183, 237), (228, 101), (254, 84)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(132, 116), (228, 101), (254, 84)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(8, 29), (129, 196), (183, 237), (157, 194)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(8, 29), (129, 196), (157, 194), (155, 180)]",0110 - B,1001 - B
,4.0,"(0, 1, 3, 5)","[(8, 29), (129, 196), (157, 194), (132, 116)]",0111 - I,1000 - I
,4.0,"(0, 1, 4, 5)","[(8, 29), (129, 196), (155, 180), (132, 116)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(8, 29), (129, 196), (132, 116), (228, 101)]",0110 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(8, 29), (132, 116), (228, 101), (254, 84)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
