PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010101,01010110,10101001,10101010,10101100
"(114, 247)",2.0,"(0, 1)","[(114, 247), (244, 36)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(244, 36)",2.0,"(0, 3)","[(114, 247), (146, 179)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(203, 83)",2.0,"(0, 6)","[(114, 247), (131, 188)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(146, 179)",2.0,"(0, 7)","[(114, 247), (12, 8)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
"(184, 68)",2.0,"(1, 2)","[(244, 36), (203, 83)]",10 - B,10 - B,10 - B,01 - B,01 - B,01 - B
"(160, 114)",2.0,"(1, 4)","[(244, 36), (184, 68)]",10 - B,10 - B,10 - B,01 - B,01 - B,01 - B
"(131, 188)",2.0,"(1, 7)","[(244, 36), (12, 8)]",11 - M,11 - M,10 - B,01 - B,00 - M,00 - M
"(12, 8)",2.0,"(4, 7)","[(184, 68), (12, 8)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
,2.0,"(5, 7)","[(160, 114), (12, 8)]",01 - B,11 - M,10 - B,01 - B,00 - M,10 - B
,2.0,"(6, 7)","[(131, 188), (12, 8)]",11 - M,01 - B,10 - B,01 - B,10 - B,00 - M
,3.0,"(0, 1, 2)","[(114, 247), (244, 36), (203, 83)]",010 - I,010 - I,010 - I,101 - I,101 - I,101 - I
,3.0,"(0, 1, 3)","[(114, 247), (244, 36), (146, 179)]",011 - I,011 - I,011 - I,100 - I,100 - I,100 - I
,3.0,"(0, 3, 6)","[(114, 247), (146, 179), (131, 188)]",011 - I,010 - I,011 - I,100 - I,101 - I,100 - I
,3.0,"(0, 6, 7)","[(114, 247), (131, 188), (12, 8)]",011 - I,001 - I,010 - I,101 - I,110 - I,100 - I
,3.0,"(1, 2, 3)","[(244, 36), (203, 83), (146, 179)]",101 - I,101 - I,101 - I,010 - I,010 - I,010 - I
,3.0,"(1, 2, 4)","[(244, 36), (203, 83), (184, 68)]",100 - I,100 - I,100 - I,011 - I,011 - I,011 - I
,3.0,"(1, 4, 7)","[(244, 36), (184, 68), (12, 8)]",101 - I,101 - I,100 - I,011 - I,010 - I,010 - I
,3.0,"(4, 5, 7)","[(184, 68), (160, 114), (12, 8)]",001 - I,011 - I,010 - I,101 - I,100 - I,110 - I
,3.0,"(5, 6, 7)","[(160, 114), (131, 188), (12, 8)]",011 - I,101 - I,110 - I,001 - I,010 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(114, 247), (244, 36), (203, 83), (146, 179)]",0101 - B,0101 - B,0101 - B,1010 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 6)","[(114, 247), (244, 36), (146, 179), (131, 188)]",0111 - I,0110 - B,0111 - I,1000 - I,1001 - B,1000 - I
,4.0,"(0, 2, 3, 6)","[(114, 247), (203, 83), (146, 179), (131, 188)]",0011 - B,0010 - I,0011 - B,1100 - B,1101 - I,1100 - B
,4.0,"(0, 3, 5, 6)","[(114, 247), (146, 179), (160, 114), (131, 188)]",0101 - B,0110 - B,0111 - I,1000 - I,1001 - B,1010 - B
,4.0,"(0, 3, 6, 7)","[(114, 247), (146, 179), (131, 188), (12, 8)]",0111 - I,0101 - B,0110 - B,1001 - B,1010 - B,1000 - I
,4.0,"(0, 5, 6, 7)","[(114, 247), (160, 114), (131, 188), (12, 8)]",0011 - B,0101 - B,0110 - B,1001 - B,1010 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
