PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,00110011,00110110,11001001,11001100
"(7, 20)",2.0,"(0, 1)","[(7, 20), (143, 235)]",00 - M,00 - M,11 - M,11 - M
"(143, 235)",2.0,"(0, 2)","[(7, 20), (68, 106)]",01 - B,01 - B,10 - B,10 - B
"(68, 106)",2.0,"(0, 6)","[(7, 20), (118, 64)]",01 - B,01 - B,10 - B,10 - B
"(178, 182)",2.0,"(0, 7)","[(7, 20), (249, 91)]",01 - B,00 - M,11 - M,10 - B
"(192, 129)",2.0,"(1, 2)","[(143, 235), (68, 106)]",01 - B,01 - B,10 - B,10 - B
"(216, 109)",2.0,"(1, 3)","[(143, 235), (178, 182)]",01 - B,01 - B,10 - B,10 - B
"(118, 64)",2.0,"(1, 7)","[(143, 235), (249, 91)]",01 - B,00 - M,11 - M,10 - B
"(249, 91)",2.0,"(3, 7)","[(178, 182), (249, 91)]",11 - M,10 - B,01 - B,00 - M
,2.0,"(5, 7)","[(216, 109), (249, 91)]",01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(118, 64), (249, 91)]",11 - M,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(7, 20), (143, 235), (68, 106)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(0, 2, 6)","[(7, 20), (68, 106), (118, 64)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(7, 20), (118, 64), (249, 91)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(143, 235), (68, 106), (178, 182)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(1, 3, 4)","[(143, 235), (178, 182), (192, 129)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(1, 3, 7)","[(143, 235), (178, 182), (249, 91)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(3, 5, 7)","[(178, 182), (216, 109), (249, 91)]",101 - I,110 - I,001 - I,010 - I
,3.0,"(4, 5, 7)","[(192, 129), (216, 109), (249, 91)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(216, 109), (118, 64), (249, 91)]",011 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(7, 20), (143, 235), (68, 106), (178, 182)]",0011 - B,0011 - B,1100 - B,1100 - B
,4.0,"(0, 1, 2, 6)","[(7, 20), (143, 235), (68, 106), (118, 64)]",0011 - B,0011 - B,1100 - B,1100 - B
,4.0,"(0, 2, 4, 6)","[(7, 20), (68, 106), (192, 129), (118, 64)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 2, 5, 6)","[(7, 20), (68, 106), (216, 109), (118, 64)]",0101 - B,0111 - I,1000 - I,1010 - B
,4.0,"(0, 2, 6, 7)","[(7, 20), (68, 106), (118, 64), (249, 91)]",0111 - I,0110 - B,1001 - B,1000 - I
,4.0,"(0, 5, 6, 7)","[(7, 20), (216, 109), (118, 64), (249, 91)]",0011 - B,0110 - B,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
