PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,10101100
"(68, 148)",2.0,"(0, 1)","[(68, 148), (165, 146)]",01 - B,10 - B
"(165, 146)",2.0,"(0, 6)","[(68, 148), (67, 142)]",01 - B,10 - B
"(220, 141)",2.0,"(0, 7)","[(68, 148), (36, 108)]",01 - B,10 - B
"(154, 139)",2.0,"(1, 2)","[(165, 146), (220, 141)]",10 - B,01 - B
"(90, 128)",2.0,"(2, 3)","[(220, 141), (154, 139)]",01 - B,10 - B
"(73, 131)",2.0,"(2, 7)","[(220, 141), (36, 108)]",01 - B,10 - B
"(67, 142)",2.0,"(4, 7)","[(90, 128), (36, 108)]",01 - B,10 - B
"(36, 108)",2.0,"(5, 7)","[(73, 131), (36, 108)]",01 - B,10 - B
,2.0,"(6, 7)","[(67, 142), (36, 108)]",11 - M,00 - M
,3.0,"(0, 1, 2)","[(68, 148), (165, 146), (220, 141)]",010 - I,101 - I
,3.0,"(0, 1, 6)","[(68, 148), (165, 146), (67, 142)]",011 - I,100 - I
,3.0,"(0, 5, 6)","[(68, 148), (73, 131), (67, 142)]",001 - I,110 - I
,3.0,"(0, 6, 7)","[(68, 148), (67, 142), (36, 108)]",011 - I,100 - I
,3.0,"(1, 2, 3)","[(165, 146), (220, 141), (154, 139)]",101 - I,010 - I
,3.0,"(2, 3, 7)","[(220, 141), (154, 139), (36, 108)]",011 - I,100 - I
,3.0,"(2, 4, 7)","[(220, 141), (90, 128), (36, 108)]",001 - I,110 - I
,3.0,"(4, 5, 7)","[(90, 128), (73, 131), (36, 108)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(73, 131), (67, 142), (36, 108)]",011 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(68, 148), (165, 146), (220, 141), (154, 139)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 6)","[(68, 148), (165, 146), (220, 141), (67, 142)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 6)","[(68, 148), (165, 146), (154, 139), (67, 142)]",0111 - I,1000 - I
,4.0,"(0, 1, 5, 6)","[(68, 148), (165, 146), (73, 131), (67, 142)]",0101 - B,1010 - B
,4.0,"(0, 4, 5, 6)","[(68, 148), (90, 128), (73, 131), (67, 142)]",0001 - I,1110 - I
,4.0,"(0, 5, 6, 7)","[(68, 148), (73, 131), (67, 142), (36, 108)]",0011 - B,1100 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
