PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(37, 107)",2.0,"(0, 1)","[(37, 107), (64, 129)]",01 - B,10 - B
"(64, 129)",2.0,"(0, 7)","[(37, 107), (131, 84)]",01 - B,10 - B
"(143, 171)",2.0,"(1, 2)","[(64, 129), (143, 171)]",10 - B,01 - B
"(194, 159)",2.0,"(2, 3)","[(143, 171), (194, 159)]",01 - B,10 - B
"(218, 157)",2.0,"(2, 4)","[(143, 171), (218, 157)]",00 - M,11 - M
"(171, 137)",2.0,"(3, 4)","[(194, 159), (218, 157)]",10 - B,01 - B
"(169, 125)",2.0,"(4, 6)","[(218, 157), (169, 125)]",00 - M,11 - M
"(131, 84)",2.0,"(4, 7)","[(218, 157), (131, 84)]",01 - B,10 - B
,2.0,"(6, 7)","[(169, 125), (131, 84)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(37, 107), (64, 129), (143, 171)]",010 - I,101 - I
,3.0,"(0, 1, 7)","[(37, 107), (64, 129), (131, 84)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(37, 107), (169, 125), (131, 84)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(64, 129), (143, 171), (194, 159)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(143, 171), (194, 159), (218, 157)]",010 - I,101 - I
,3.0,"(3, 4, 5)","[(194, 159), (218, 157), (171, 137)]",101 - I,010 - I
,3.0,"(3, 4, 6)","[(194, 159), (218, 157), (169, 125)]",100 - I,011 - I
,3.0,"(4, 6, 7)","[(218, 157), (169, 125), (131, 84)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(171, 137), (169, 125), (131, 84)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(37, 107), (64, 129), (143, 171), (194, 159)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 5)","[(37, 107), (64, 129), (143, 171), (171, 137)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 7)","[(37, 107), (64, 129), (143, 171), (131, 84)]",0101 - B,1010 - B
,4.0,"(0, 1, 6, 7)","[(37, 107), (64, 129), (169, 125), (131, 84)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(37, 107), (171, 137), (169, 125), (131, 84)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
