PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01010011,01010101,01011001,10100110,10101010,10101100,10110010
"(110, 217)",2.0,"(0, 1)","[(110, 217), (156, 220)]",01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B
"(156, 220)",2.0,"(0, 7)","[(110, 217), (0, 27)]",01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B
"(245, 38)",2.0,"(1, 2)","[(156, 220), (245, 38)]",10 - B,10 - B,10 - B,10 - B,01 - B,01 - B,01 - B,01 - B
"(166, 95)",2.0,"(2, 3)","[(245, 38), (166, 95)]",00 - M,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,11 - M
"(129, 148)",2.0,"(2, 5)","[(245, 38), (124, 50)]",01 - B,00 - M,01 - B,00 - M,11 - M,10 - B,11 - M,10 - B
"(124, 50)",2.0,"(2, 7)","[(245, 38), (0, 27)]",01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B
"(74, 80)",2.0,"(5, 7)","[(124, 50), (0, 27)]",11 - M,01 - B,11 - M,01 - B,10 - B,00 - M,10 - B,00 - M
"(0, 27)",2.0,"(6, 7)","[(74, 80), (0, 27)]",01 - B,11 - M,01 - B,01 - B,10 - B,10 - B,00 - M,10 - B
,3.0,"(0, 1, 2)","[(110, 217), (156, 220), (245, 38)]",010 - I,010 - I,010 - I,010 - I,101 - I,101 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(110, 217), (156, 220), (129, 148)]",011 - I,010 - I,010 - I,011 - I,100 - I,101 - I,101 - I,100 - I
,3.0,"(0, 1, 7)","[(110, 217), (156, 220), (0, 27)]",011 - I,011 - I,011 - I,011 - I,100 - I,100 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(110, 217), (74, 80), (0, 27)]",001 - I,011 - I,001 - I,001 - I,110 - I,110 - I,100 - I,110 - I
,3.0,"(1, 2, 3)","[(156, 220), (245, 38), (166, 95)]",100 - I,101 - I,101 - I,101 - I,010 - I,010 - I,010 - I,011 - I
,3.0,"(2, 3, 5)","[(245, 38), (166, 95), (124, 50)]",001 - I,010 - I,011 - I,010 - I,101 - I,100 - I,101 - I,110 - I
,3.0,"(2, 5, 7)","[(245, 38), (124, 50), (0, 27)]",011 - I,001 - I,011 - I,001 - I,110 - I,100 - I,110 - I,100 - I
,3.0,"(5, 6, 7)","[(124, 50), (74, 80), (0, 27)]",101 - I,011 - I,101 - I,001 - I,110 - I,010 - I,100 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(110, 217), (156, 220), (245, 38), (166, 95)]",0100 - I,0101 - B,0101 - B,0101 - B,1010 - B,1010 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(110, 217), (156, 220), (245, 38), (129, 148)]",0101 - B,0100 - I,0100 - I,0101 - B,1010 - B,1011 - I,1011 - I,1010 - B
,4.0,"(0, 1, 3, 4)","[(110, 217), (156, 220), (166, 95), (129, 148)]",0101 - B,0110 - B,0110 - B,0111 - I,1000 - I,1001 - B,1001 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(110, 217), (156, 220), (129, 148), (74, 80)]",0110 - B,0101 - B,0100 - I,0110 - B,1001 - B,1011 - I,1010 - B,1001 - B
,4.0,"(0, 1, 4, 7)","[(110, 217), (156, 220), (129, 148), (0, 27)]",0111 - I,0101 - B,0101 - B,0111 - I,1000 - I,1010 - B,1010 - B,1000 - I
,4.0,"(0, 1, 6, 7)","[(110, 217), (156, 220), (74, 80), (0, 27)]",0101 - B,0111 - I,0101 - B,0101 - B,1010 - B,1010 - B,1000 - I,1010 - B
,4.0,"(0, 4, 6, 7)","[(110, 217), (129, 148), (74, 80), (0, 27)]",0101 - B,0011 - B,0001 - I,0101 - B,1010 - B,1110 - I,1100 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(110, 217), (124, 50), (74, 80), (0, 27)]",0101 - B,0011 - B,0101 - B,0001 - I,1110 - I,1010 - B,1100 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,,,
