PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(70, 227)",2.0,"(0, 1)","[(70, 227), (119, 235)]",01 - B,10 - B
"(119, 235)",2.0,"(0, 6)","[(70, 227), (68, 167)]",00 - M,11 - M
"(230, 147)",2.0,"(0, 7)","[(70, 227), (26, 20)]",01 - B,10 - B
"(120, 196)",2.0,"(1, 2)","[(119, 235), (230, 147)]",10 - B,01 - B
"(106, 185)",2.0,"(2, 3)","[(230, 147), (120, 196)]",01 - B,10 - B
"(98, 174)",2.0,"(2, 7)","[(230, 147), (26, 20)]",01 - B,10 - B
"(68, 167)",2.0,"(6, 7)","[(68, 167), (26, 20)]",01 - B,10 - B
"(26, 20)",3.0,"(0, 1, 2)","[(70, 227), (119, 235), (230, 147)]",010 - I,101 - I
,3.0,"(0, 1, 3)","[(70, 227), (119, 235), (120, 196)]",011 - I,100 - I
,3.0,"(0, 1, 6)","[(70, 227), (119, 235), (68, 167)]",010 - I,101 - I
,3.0,"(0, 6, 7)","[(70, 227), (68, 167), (26, 20)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(119, 235), (230, 147), (120, 196)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(230, 147), (120, 196), (106, 185)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(230, 147), (120, 196), (26, 20)]",011 - I,100 - I
,3.0,"(2, 5, 7)","[(230, 147), (98, 174), (26, 20)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(230, 147), (68, 167), (26, 20)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(98, 174), (68, 167), (26, 20)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(70, 227), (119, 235), (230, 147), (120, 196)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(70, 227), (119, 235), (120, 196), (106, 185)]",0110 - B,1001 - B
,4.0,"(0, 1, 3, 6)","[(70, 227), (119, 235), (120, 196), (68, 167)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 6)","[(70, 227), (119, 235), (106, 185), (68, 167)]",0100 - I,1011 - I
,4.0,"(0, 1, 5, 6)","[(70, 227), (119, 235), (98, 174), (68, 167)]",0110 - B,1001 - B
,4.0,"(0, 1, 6, 7)","[(70, 227), (119, 235), (68, 167), (26, 20)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(70, 227), (98, 174), (68, 167), (26, 20)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
