PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01011001,10100110,10110010
"(2, 35)",2.0,"(0, 1)","[(2, 35), (87, 205)]",01 - B,01 - B,10 - B,10 - B
"(87, 205)",2.0,"(0, 4)","[(2, 35), (68, 81)]",01 - B,01 - B,10 - B,10 - B
"(118, 203)",2.0,"(0, 7)","[(2, 35), (253, 54)]",01 - B,01 - B,10 - B,10 - B
"(172, 220)",2.0,"(1, 2)","[(87, 205), (118, 203)]",10 - B,10 - B,01 - B,01 - B
"(68, 81)",2.0,"(1, 3)","[(87, 205), (172, 220)]",10 - B,11 - M,00 - M,01 - B
"(205, 127)",2.0,"(2, 3)","[(118, 203), (172, 220)]",00 - M,01 - B,10 - B,11 - M
"(197, 77)",2.0,"(3, 5)","[(172, 220), (205, 127)]",01 - B,10 - B,01 - B,10 - B
"(253, 54)",2.0,"(3, 7)","[(172, 220), (253, 54)]",01 - B,11 - M,00 - M,10 - B
,2.0,"(5, 7)","[(205, 127), (253, 54)]",11 - M,01 - B,10 - B,00 - M
,2.0,"(6, 7)","[(197, 77), (253, 54)]",01 - B,01 - B,10 - B,10 - B
,3.0,"(0, 1, 2)","[(2, 35), (87, 205), (118, 203)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(2, 35), (87, 205), (68, 81)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 4, 6)","[(2, 35), (68, 81), (197, 77)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 4, 7)","[(2, 35), (68, 81), (253, 54)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(2, 35), (197, 77), (253, 54)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(1, 2, 3)","[(87, 205), (118, 203), (172, 220)]",100 - I,101 - I,010 - I,011 - I
,3.0,"(2, 3, 5)","[(118, 203), (172, 220), (205, 127)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(3, 5, 7)","[(172, 220), (205, 127), (253, 54)]",011 - I,101 - I,010 - I,100 - I
,3.0,"(5, 6, 7)","[(205, 127), (197, 77), (253, 54)]",101 - I,001 - I,110 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(2, 35), (87, 205), (118, 203), (172, 220)]",0100 - I,0101 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(2, 35), (87, 205), (118, 203), (68, 81)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(2, 35), (87, 205), (68, 81), (197, 77)]",0110 - B,0110 - B,1001 - B,1001 - B
,4.0,"(0, 4, 6, 7)","[(2, 35), (68, 81), (197, 77), (253, 54)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(2, 35), (205, 127), (197, 77), (253, 54)]",0101 - B,0001 - I,1110 - I,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
