PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010110,01011001,10100110,10101001,10101100
"(249, 57)",2.0,"(0, 1)","[(249, 57), (7, 65)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(7, 65)",2.0,"(0, 3)","[(249, 57), (172, 82)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(46, 91)",2.0,"(0, 6)","[(249, 57), (188, 122)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
"(172, 82)",2.0,"(0, 7)","[(249, 57), (125, 199)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(139, 109)",2.0,"(1, 2)","[(7, 65), (46, 91)]",10 - B,10 - B,10 - B,01 - B,01 - B,01 - B
"(83, 148)",2.0,"(1, 5)","[(7, 65), (83, 148)]",10 - B,11 - M,10 - B,01 - B,00 - M,01 - B
"(188, 122)",2.0,"(1, 7)","[(7, 65), (125, 199)]",11 - M,10 - B,11 - M,00 - M,01 - B,00 - M
"(125, 199)",2.0,"(5, 7)","[(83, 148), (125, 199)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(188, 122), (125, 199)]",11 - M,10 - B,01 - B,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(249, 57), (7, 65), (46, 91)]",010 - I,010 - I,010 - I,101 - I,101 - I,101 - I
,3.0,"(0, 1, 3)","[(249, 57), (7, 65), (172, 82)]",011 - I,011 - I,011 - I,100 - I,100 - I,100 - I
,3.0,"(0, 3, 6)","[(249, 57), (172, 82), (188, 122)]",011 - I,011 - I,010 - I,101 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(249, 57), (188, 122), (125, 199)]",011 - I,010 - I,001 - I,110 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(7, 65), (46, 91), (172, 82)]",101 - I,101 - I,101 - I,010 - I,010 - I,010 - I
,3.0,"(1, 2, 5)","[(7, 65), (46, 91), (83, 148)]",100 - I,101 - I,100 - I,011 - I,010 - I,011 - I
,3.0,"(1, 5, 7)","[(7, 65), (83, 148), (125, 199)]",101 - I,110 - I,101 - I,010 - I,001 - I,010 - I
,3.0,"(2, 5, 7)","[(46, 91), (83, 148), (125, 199)]",001 - I,010 - I,001 - I,110 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(83, 148), (188, 122), (125, 199)]",011 - I,110 - I,001 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(249, 57), (7, 65), (46, 91), (172, 82)]",0101 - B,0101 - B,0101 - B,1010 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(249, 57), (7, 65), (172, 82), (139, 109)]",0110 - B,0110 - B,0111 - I,1000 - I,1001 - B,1001 - B
,4.0,"(0, 1, 3, 6)","[(249, 57), (7, 65), (172, 82), (188, 122)]",0111 - I,0111 - I,0110 - B,1001 - B,1000 - I,1000 - I
,4.0,"(0, 3, 4, 6)","[(249, 57), (172, 82), (139, 109), (188, 122)]",0101 - B,0101 - B,0110 - B,1001 - B,1010 - B,1010 - B
,4.0,"(0, 3, 6, 7)","[(249, 57), (172, 82), (188, 122), (125, 199)]",0111 - I,0110 - B,0101 - B,1010 - B,1001 - B,1000 - I
,4.0,"(0, 4, 6, 7)","[(249, 57), (139, 109), (188, 122), (125, 199)]",0011 - B,0010 - I,0101 - B,1010 - B,1101 - I,1100 - B
,4.0,"(0, 5, 6, 7)","[(249, 57), (83, 148), (188, 122), (125, 199)]",0011 - B,0110 - B,0001 - I,1110 - I,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
