PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01001110,10110001,10110010
"(49, 25)",2.0,"(0, 1)","[(49, 25), (152, 218)]",01 - B,01 - B,10 - B,10 - B
"(152, 218)",2.0,"(0, 4)","[(49, 25), (116, 123)]",01 - B,01 - B,10 - B,10 - B
"(154, 214)",2.0,"(0, 6)","[(49, 25), (145, 148)]",00 - M,01 - B,10 - B,11 - M
"(134, 156)",2.0,"(0, 7)","[(49, 25), (201, 209)]",01 - B,00 - M,11 - M,10 - B
"(116, 123)",2.0,"(1, 2)","[(152, 218), (154, 214)]",10 - B,10 - B,01 - B,01 - B
"(142, 154)",2.0,"(1, 7)","[(152, 218), (201, 209)]",11 - M,10 - B,01 - B,00 - M
"(145, 148)",2.0,"(2, 7)","[(154, 214), (201, 209)]",01 - B,00 - M,11 - M,10 - B
"(201, 209)",2.0,"(6, 7)","[(145, 148), (201, 209)]",01 - B,10 - B,01 - B,10 - B
,3.0,"(0, 1, 2)","[(49, 25), (152, 218), (154, 214)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(49, 25), (152, 218), (116, 123)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 3, 4)","[(49, 25), (134, 156), (116, 123)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(0, 4, 6)","[(49, 25), (116, 123), (145, 148)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 6, 7)","[(49, 25), (145, 148), (201, 209)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(1, 2, 3)","[(152, 218), (154, 214), (134, 156)]",100 - I,100 - I,011 - I,011 - I
,3.0,"(1, 2, 7)","[(152, 218), (154, 214), (201, 209)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(2, 6, 7)","[(154, 214), (145, 148), (201, 209)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(142, 154), (145, 148), (201, 209)]",101 - I,110 - I,001 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(49, 25), (152, 218), (154, 214), (134, 156)]",0100 - I,0100 - I,1011 - I,1011 - I
,4.0,"(0, 1, 2, 4)","[(49, 25), (152, 218), (154, 214), (116, 123)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(49, 25), (152, 218), (134, 156), (116, 123)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 3, 4, 5)","[(49, 25), (134, 156), (116, 123), (142, 154)]",0011 - B,0011 - B,1100 - B,1100 - B
,4.0,"(0, 3, 4, 6)","[(49, 25), (134, 156), (116, 123), (145, 148)]",0010 - I,0011 - B,1100 - B,1101 - I
,4.0,"(0, 4, 5, 6)","[(49, 25), (116, 123), (142, 154), (145, 148)]",0110 - B,0111 - I,1000 - I,1001 - B
,4.0,"(0, 4, 6, 7)","[(49, 25), (116, 123), (145, 148), (201, 209)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(49, 25), (142, 154), (145, 148), (201, 209)]",0101 - B,0110 - B,1001 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
