PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01011001,01100011,01100110,10011001,10011100,10100110,10110010
"(242, 170)",2.0,"(0, 1)","[(242, 170), (179, 26)]",01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B
"(179, 26)",2.0,"(0, 6)","[(242, 170), (196, 180)]",00 - M,00 - M,01 - B,01 - B,10 - B,10 - B,11 - M,11 - M
"(71, 83)",2.0,"(0, 7)","[(242, 170), (176, 229)]",01 - B,01 - B,01 - B,00 - M,11 - M,10 - B,10 - B,10 - B
"(14, 74)",2.0,"(1, 2)","[(179, 26), (71, 83)]",10 - B,10 - B,11 - M,11 - M,00 - M,00 - M,01 - B,01 - B
"(170, 151)",2.0,"(1, 3)","[(179, 26), (14, 74)]",10 - B,11 - M,10 - B,10 - B,01 - B,01 - B,00 - M,01 - B
"(94, 141)",2.0,"(2, 3)","[(71, 83), (14, 74)]",00 - M,01 - B,10 - B,10 - B,01 - B,01 - B,10 - B,11 - M
"(196, 180)",2.0,"(3, 5)","[(14, 74), (94, 141)]",01 - B,10 - B,00 - M,01 - B,10 - B,11 - M,01 - B,10 - B
"(176, 229)",2.0,"(3, 7)","[(14, 74), (176, 229)]",01 - B,11 - M,01 - B,00 - M,11 - M,10 - B,00 - M,10 - B
,2.0,"(5, 7)","[(94, 141), (176, 229)]",11 - M,01 - B,01 - B,10 - B,01 - B,10 - B,10 - B,00 - M
,2.0,"(6, 7)","[(196, 180), (176, 229)]",01 - B,01 - B,11 - M,10 - B,01 - B,00 - M,10 - B,10 - B
,3.0,"(0, 1, 2)","[(242, 170), (179, 26), (71, 83)]",010 - I,010 - I,011 - I,011 - I,100 - I,100 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(242, 170), (179, 26), (170, 151)]",011 - I,011 - I,010 - I,010 - I,101 - I,101 - I,100 - I,100 - I
,3.0,"(0, 1, 6)","[(242, 170), (179, 26), (196, 180)]",010 - I,010 - I,011 - I,011 - I,100 - I,100 - I,101 - I,101 - I
,3.0,"(0, 6, 7)","[(242, 170), (196, 180), (176, 229)]",001 - I,001 - I,011 - I,010 - I,101 - I,100 - I,110 - I,110 - I
,3.0,"(1, 2, 3)","[(179, 26), (71, 83), (14, 74)]",100 - I,101 - I,110 - I,110 - I,001 - I,001 - I,010 - I,011 - I
,3.0,"(2, 3, 5)","[(71, 83), (14, 74), (94, 141)]",001 - I,010 - I,100 - I,101 - I,010 - I,011 - I,101 - I,110 - I
,3.0,"(3, 5, 7)","[(14, 74), (94, 141), (176, 229)]",011 - I,101 - I,001 - I,010 - I,101 - I,110 - I,010 - I,100 - I
,3.0,"(5, 6, 7)","[(94, 141), (196, 180), (176, 229)]",101 - I,001 - I,011 - I,110 - I,001 - I,100 - I,110 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(242, 170), (179, 26), (71, 83), (14, 74)]",0100 - I,0101 - B,0110 - B,0110 - B,1001 - B,1001 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(242, 170), (179, 26), (71, 83), (170, 151)]",0101 - B,0101 - B,0110 - B,0110 - B,1001 - B,1001 - B,1010 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(242, 170), (179, 26), (170, 151), (196, 180)]",0110 - B,0110 - B,0101 - B,0101 - B,1010 - B,1010 - B,1001 - B,1001 - B
,4.0,"(0, 1, 6, 7)","[(242, 170), (179, 26), (196, 180), (176, 229)]",0101 - B,0101 - B,0111 - I,0110 - B,1001 - B,1000 - I,1010 - B,1010 - B
,4.0,"(0, 4, 6, 7)","[(242, 170), (170, 151), (196, 180), (176, 229)]",0101 - B,0101 - B,0011 - B,0010 - I,1101 - I,1100 - B,1010 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(242, 170), (94, 141), (196, 180), (176, 229)]",0101 - B,0001 - I,0011 - B,0110 - B,1001 - B,1100 - B,1110 - I,1010 - B
,,,Total Balanced Sets,12,12,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,,,
