PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01011010,10100101,10110010
"(128, 47)",2.0,"(0, 1)","[(128, 47), (35, 208)]",01 - B,01 - B,10 - B,10 - B
"(35, 208)",2.0,"(0, 4)","[(128, 47), (118, 119)]",01 - B,01 - B,10 - B,10 - B
"(95, 163)",2.0,"(0, 6)","[(128, 47), (184, 115)]",00 - M,01 - B,10 - B,11 - M
"(102, 175)",2.0,"(0, 7)","[(128, 47), (216, 141)]",01 - B,00 - M,11 - M,10 - B
"(118, 119)",2.0,"(1, 2)","[(35, 208), (95, 163)]",10 - B,10 - B,01 - B,01 - B
"(122, 126)",2.0,"(1, 3)","[(35, 208), (102, 175)]",10 - B,11 - M,00 - M,01 - B
"(184, 115)",2.0,"(1, 7)","[(35, 208), (216, 141)]",11 - M,10 - B,01 - B,00 - M
"(216, 141)",2.0,"(3, 7)","[(102, 175), (216, 141)]",01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(184, 115), (216, 141)]",01 - B,10 - B,01 - B,10 - B
,3.0,"(0, 1, 2)","[(128, 47), (35, 208), (95, 163)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(128, 47), (35, 208), (118, 119)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 4, 5)","[(128, 47), (118, 119), (122, 126)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(0, 4, 6)","[(128, 47), (118, 119), (184, 115)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 6, 7)","[(128, 47), (184, 115), (216, 141)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(1, 2, 3)","[(35, 208), (95, 163), (102, 175)]",100 - I,101 - I,010 - I,011 - I
,3.0,"(1, 3, 7)","[(35, 208), (102, 175), (216, 141)]",101 - I,110 - I,001 - I,010 - I
,3.0,"(3, 6, 7)","[(102, 175), (184, 115), (216, 141)]",001 - I,110 - I,001 - I,110 - I
,3.0,"(5, 6, 7)","[(122, 126), (184, 115), (216, 141)]",101 - I,010 - I,101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(128, 47), (35, 208), (95, 163), (102, 175)]",0100 - I,0101 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(128, 47), (35, 208), (95, 163), (118, 119)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 4, 5)","[(128, 47), (35, 208), (118, 119), (122, 126)]",0111 - I,0110 - B,1001 - B,1000 - I
,4.0,"(0, 2, 4, 5)","[(128, 47), (95, 163), (118, 119), (122, 126)]",0011 - B,0010 - I,1101 - I,1100 - B
,4.0,"(0, 4, 5, 6)","[(128, 47), (118, 119), (122, 126), (184, 115)]",0110 - B,0101 - B,1010 - B,1001 - B
,4.0,"(0, 4, 6, 7)","[(128, 47), (118, 119), (184, 115), (216, 141)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(128, 47), (122, 126), (184, 115), (216, 141)]",0101 - B,0010 - I,1101 - I,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
