PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010110,10101001,10101100
"(80, 213)",2.0,"(0, 1)","[(80, 213), (251, 168)]",01 - B,01 - B,10 - B,10 - B
"(251, 168)",2.0,"(0, 6)","[(80, 213), (93, 173)]",01 - B,01 - B,10 - B,10 - B
"(210, 150)",2.0,"(0, 7)","[(80, 213), (5, 42)]",01 - B,00 - M,11 - M,10 - B
"(131, 152)",2.0,"(1, 2)","[(251, 168), (210, 150)]",10 - B,10 - B,01 - B,01 - B
"(118, 156)",2.0,"(1, 7)","[(251, 168), (5, 42)]",11 - M,10 - B,01 - B,00 - M
"(115, 141)",2.0,"(2, 7)","[(210, 150), (5, 42)]",01 - B,00 - M,11 - M,10 - B
"(93, 173)",2.0,"(5, 7)","[(115, 141), (5, 42)]",01 - B,10 - B,01 - B,10 - B
"(5, 42)",2.0,"(6, 7)","[(93, 173), (5, 42)]",11 - M,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(80, 213), (251, 168), (210, 150)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(80, 213), (251, 168), (93, 173)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 4, 6)","[(80, 213), (118, 156), (93, 173)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(0, 6, 7)","[(80, 213), (93, 173), (5, 42)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(251, 168), (210, 150), (131, 152)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(1, 2, 7)","[(251, 168), (210, 150), (5, 42)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(2, 5, 7)","[(210, 150), (115, 141), (5, 42)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(3, 5, 7)","[(131, 152), (115, 141), (5, 42)]",101 - I,110 - I,001 - I,010 - I
,3.0,"(4, 5, 7)","[(118, 156), (115, 141), (5, 42)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(115, 141), (93, 173), (5, 42)]",011 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(80, 213), (251, 168), (210, 150), (131, 152)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 2, 6)","[(80, 213), (251, 168), (210, 150), (93, 173)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(80, 213), (251, 168), (118, 156), (93, 173)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 3, 4, 6)","[(80, 213), (131, 152), (118, 156), (93, 173)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 4, 5, 6)","[(80, 213), (118, 156), (115, 141), (93, 173)]",0001 - I,0011 - B,1100 - B,1110 - I
,4.0,"(0, 4, 6, 7)","[(80, 213), (118, 156), (93, 173), (5, 42)]",0011 - B,0010 - I,1101 - I,1100 - B
,4.0,"(0, 5, 6, 7)","[(80, 213), (115, 141), (93, 173), (5, 42)]",0011 - B,0110 - B,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
