PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01010011,01011001,10100110,10101100,10110010
"(132, 192)",2.0,"(0, 1)","[(132, 192), (189, 143)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(189, 143)",2.0,"(0, 4)","[(132, 192), (128, 175)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(188, 69)",2.0,"(0, 6)","[(132, 192), (95, 181)]",00 - M,01 - B,00 - M,11 - M,10 - B,11 - M
"(133, 152)",2.0,"(0, 7)","[(132, 192), (67, 179)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(128, 175)",2.0,"(1, 2)","[(189, 143), (188, 69)]",10 - B,10 - B,10 - B,01 - B,01 - B,01 - B
"(97, 164)",2.0,"(2, 3)","[(188, 69), (133, 152)]",00 - M,01 - B,01 - B,10 - B,10 - B,11 - M
"(95, 181)",2.0,"(2, 5)","[(188, 69), (97, 164)]",01 - B,00 - M,00 - M,11 - M,11 - M,10 - B
"(67, 179)",2.0,"(2, 7)","[(188, 69), (67, 179)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
,2.0,"(5, 7)","[(97, 164), (67, 179)]",11 - M,01 - B,01 - B,10 - B,10 - B,00 - M
,2.0,"(6, 7)","[(95, 181), (67, 179)]",01 - B,11 - M,01 - B,10 - B,00 - M,10 - B
,3.0,"(0, 1, 2)","[(132, 192), (189, 143), (188, 69)]",010 - I,010 - I,010 - I,101 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(132, 192), (189, 143), (128, 175)]",011 - I,010 - I,011 - I,100 - I,101 - I,100 - I
,3.0,"(0, 4, 6)","[(132, 192), (128, 175), (95, 181)]",010 - I,001 - I,010 - I,101 - I,110 - I,101 - I
,3.0,"(0, 6, 7)","[(132, 192), (95, 181), (67, 179)]",001 - I,011 - I,001 - I,110 - I,100 - I,110 - I
,3.0,"(1, 2, 3)","[(189, 143), (188, 69), (133, 152)]",100 - I,101 - I,101 - I,010 - I,010 - I,011 - I
,3.0,"(2, 3, 5)","[(188, 69), (133, 152), (97, 164)]",001 - I,010 - I,010 - I,101 - I,101 - I,110 - I
,3.0,"(2, 5, 7)","[(188, 69), (97, 164), (67, 179)]",011 - I,001 - I,001 - I,110 - I,110 - I,100 - I
,3.0,"(5, 6, 7)","[(97, 164), (95, 181), (67, 179)]",101 - I,011 - I,001 - I,110 - I,100 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(132, 192), (189, 143), (188, 69), (133, 152)]",0100 - I,0101 - B,0101 - B,1010 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(132, 192), (189, 143), (188, 69), (128, 175)]",0101 - B,0100 - I,0101 - B,1010 - B,1011 - I,1010 - B
,4.0,"(0, 1, 3, 4)","[(132, 192), (189, 143), (133, 152), (128, 175)]",0101 - B,0110 - B,0111 - I,1000 - I,1001 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(132, 192), (189, 143), (128, 175), (95, 181)]",0110 - B,0101 - B,0110 - B,1001 - B,1010 - B,1001 - B
,4.0,"(0, 4, 6, 7)","[(132, 192), (128, 175), (95, 181), (67, 179)]",0101 - B,0011 - B,0101 - B,1010 - B,1100 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(132, 192), (97, 164), (95, 181), (67, 179)]",0101 - B,0011 - B,0001 - I,1110 - I,1100 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
