PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,00110101,01010110,10101001,11001010
"(215, 17)",2.0,"(0, 1)","[(215, 17), (33, 190)]",00 - M,01 - B,10 - B,11 - M
"(33, 190)",2.0,"(0, 2)","[(215, 17), (105, 148)]",01 - B,00 - M,11 - M,10 - B
"(105, 148)",2.0,"(0, 5)","[(215, 17), (188, 140)]",01 - B,01 - B,10 - B,10 - B
"(103, 192)",2.0,"(0, 6)","[(215, 17), (204, 156)]",00 - M,01 - B,10 - B,11 - M
"(161, 178)",2.0,"(0, 7)","[(215, 17), (222, 238)]",01 - B,00 - M,11 - M,10 - B
"(188, 140)",2.0,"(1, 2)","[(33, 190), (105, 148)]",01 - B,10 - B,01 - B,10 - B
"(204, 156)",2.0,"(1, 3)","[(33, 190), (103, 192)]",01 - B,11 - M,00 - M,10 - B
"(222, 238)",2.0,"(1, 7)","[(33, 190), (222, 238)]",01 - B,10 - B,01 - B,10 - B
,2.0,"(3, 7)","[(103, 192), (222, 238)]",11 - M,10 - B,01 - B,00 - M
,2.0,"(4, 7)","[(161, 178), (222, 238)]",01 - B,00 - M,11 - M,10 - B
,2.0,"(6, 7)","[(204, 156), (222, 238)]",01 - B,10 - B,01 - B,10 - B
,3.0,"(0, 1, 2)","[(215, 17), (33, 190), (105, 148)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(0, 2, 5)","[(215, 17), (105, 148), (188, 140)]",011 - I,001 - I,110 - I,100 - I
,3.0,"(0, 5, 6)","[(215, 17), (188, 140), (204, 156)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 6, 7)","[(215, 17), (204, 156), (222, 238)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(1, 2, 3)","[(33, 190), (105, 148), (103, 192)]",011 - I,101 - I,010 - I,100 - I
,3.0,"(1, 3, 7)","[(33, 190), (103, 192), (222, 238)]",011 - I,110 - I,001 - I,100 - I
,3.0,"(3, 4, 7)","[(103, 192), (161, 178), (222, 238)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(4, 6, 7)","[(161, 178), (204, 156), (222, 238)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(188, 140), (204, 156), (222, 238)]",101 - I,110 - I,001 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(215, 17), (33, 190), (105, 148), (103, 192)]",0011 - B,0101 - B,1010 - B,1100 - B
,4.0,"(0, 1, 2, 5)","[(215, 17), (33, 190), (105, 148), (188, 140)]",0011 - B,0101 - B,1010 - B,1100 - B
,4.0,"(0, 2, 5, 6)","[(215, 17), (105, 148), (188, 140), (204, 156)]",0110 - B,0011 - B,1100 - B,1001 - B
,4.0,"(0, 4, 5, 6)","[(215, 17), (161, 178), (188, 140), (204, 156)]",0010 - I,0011 - B,1100 - B,1101 - I
,4.0,"(0, 5, 6, 7)","[(215, 17), (188, 140), (204, 156), (222, 238)]",0101 - B,0110 - B,1001 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
