PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(13, 237)",2.0,"(0, 1)","[(13, 237), (243, 59)]",01 - B,10 - B
"(243, 59)",2.0,"(0, 3)","[(13, 237), (47, 182)]",01 - B,10 - B
"(158, 44)",2.0,"(0, 7)","[(13, 237), (50, 18)]",01 - B,10 - B
"(47, 182)",2.0,"(1, 2)","[(243, 59), (158, 44)]",10 - B,01 - B
"(71, 126)",2.0,"(1, 7)","[(243, 59), (50, 18)]",11 - M,00 - M
"(58, 84)",2.0,"(2, 7)","[(158, 44), (50, 18)]",01 - B,10 - B
"(51, 76)",2.0,"(6, 7)","[(51, 76), (50, 18)]",01 - B,10 - B
"(50, 18)",3.0,"(0, 1, 2)","[(13, 237), (243, 59), (158, 44)]",010 - I,101 - I
,3.0,"(0, 1, 3)","[(13, 237), (243, 59), (47, 182)]",011 - I,100 - I
,3.0,"(0, 3, 4)","[(13, 237), (47, 182), (71, 126)]",010 - I,101 - I
,3.0,"(0, 3, 6)","[(13, 237), (47, 182), (51, 76)]",010 - I,101 - I
,3.0,"(0, 3, 7)","[(13, 237), (47, 182), (50, 18)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(13, 237), (51, 76), (50, 18)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(243, 59), (158, 44), (47, 182)]",101 - I,010 - I
,3.0,"(1, 2, 4)","[(243, 59), (158, 44), (71, 126)]",100 - I,011 - I
,3.0,"(1, 2, 7)","[(243, 59), (158, 44), (50, 18)]",101 - I,010 - I
,3.0,"(2, 6, 7)","[(158, 44), (51, 76), (50, 18)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(58, 84), (51, 76), (50, 18)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(13, 237), (243, 59), (158, 44), (47, 182)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(13, 237), (243, 59), (47, 182), (71, 126)]",0110 - B,1001 - B
,4.0,"(0, 3, 4, 5)","[(13, 237), (47, 182), (71, 126), (58, 84)]",0101 - B,1010 - B
,4.0,"(0, 3, 4, 6)","[(13, 237), (47, 182), (71, 126), (51, 76)]",0100 - I,1011 - I
,4.0,"(0, 3, 5, 6)","[(13, 237), (47, 182), (58, 84), (51, 76)]",0110 - B,1001 - B
,4.0,"(0, 3, 6, 7)","[(13, 237), (47, 182), (51, 76), (50, 18)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(13, 237), (58, 84), (51, 76), (50, 18)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
