PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(251, 29)",2.0,"(0, 1)","[(251, 29), (99, 117)]",01 - B,10 - B
"(99, 117)",2.0,"(0, 5)","[(251, 29), (142, 142)]",01 - B,10 - B
"(38, 187)",2.0,"(0, 6)","[(251, 29), (141, 148)]",00 - M,11 - M
"(78, 167)",2.0,"(0, 7)","[(251, 29), (115, 181)]",01 - B,10 - B
"(120, 139)",2.0,"(1, 2)","[(99, 117), (38, 187)]",10 - B,01 - B
"(142, 142)",2.0,"(2, 3)","[(38, 187), (78, 167)]",01 - B,10 - B
"(141, 148)",2.0,"(2, 7)","[(38, 187), (115, 181)]",01 - B,10 - B
"(115, 181)",2.0,"(6, 7)","[(141, 148), (115, 181)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(251, 29), (99, 117), (38, 187)]",010 - I,101 - I
,3.0,"(0, 1, 4)","[(251, 29), (99, 117), (120, 139)]",010 - I,101 - I
,3.0,"(0, 1, 5)","[(251, 29), (99, 117), (142, 142)]",011 - I,100 - I
,3.0,"(0, 5, 6)","[(251, 29), (142, 142), (141, 148)]",010 - I,101 - I
,3.0,"(0, 6, 7)","[(251, 29), (141, 148), (115, 181)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(99, 117), (38, 187), (78, 167)]",101 - I,010 - I
,3.0,"(2, 3, 7)","[(38, 187), (78, 167), (115, 181)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(38, 187), (141, 148), (115, 181)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(142, 142), (141, 148), (115, 181)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(251, 29), (99, 117), (38, 187), (78, 167)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(251, 29), (99, 117), (38, 187), (120, 139)]",0100 - I,1011 - I
,4.0,"(0, 1, 3, 4)","[(251, 29), (99, 117), (78, 167), (120, 139)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 5)","[(251, 29), (99, 117), (120, 139), (142, 142)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(251, 29), (99, 117), (142, 142), (141, 148)]",0110 - B,1001 - B
,4.0,"(0, 4, 5, 6)","[(251, 29), (120, 139), (142, 142), (141, 148)]",0010 - I,1101 - I
,4.0,"(0, 5, 6, 7)","[(251, 29), (142, 142), (141, 148), (115, 181)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
