PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001011,01010110,01100011,10011100,10101001,10110100
"(130, 42)",2.0,"(0, 1)","[(130, 42), (63, 133)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(63, 133)",2.0,"(0, 6)","[(130, 42), (153, 105)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(114, 177)",2.0,"(0, 7)","[(130, 42), (192, 165)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(125, 214)",2.0,"(1, 2)","[(63, 133), (114, 177)]",10 - B,10 - B,11 - M,00 - M,01 - B,01 - B
"(137, 142)",2.0,"(1, 3)","[(63, 133), (125, 214)]",10 - B,11 - M,10 - B,01 - B,00 - M,01 - B
"(154, 134)",2.0,"(2, 3)","[(114, 177), (125, 214)]",00 - M,01 - B,10 - B,01 - B,10 - B,11 - M
"(153, 105)",2.0,"(3, 7)","[(125, 214), (192, 165)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
"(192, 165)",2.0,"(5, 7)","[(154, 134), (192, 165)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(153, 105), (192, 165)]",11 - M,10 - B,11 - M,00 - M,01 - B,00 - M
,3.0,"(0, 1, 2)","[(130, 42), (63, 133), (114, 177)]",010 - I,010 - I,011 - I,100 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(130, 42), (63, 133), (153, 105)]",011 - I,011 - I,011 - I,100 - I,100 - I,100 - I
,3.0,"(0, 5, 6)","[(130, 42), (154, 134), (153, 105)]",001 - I,011 - I,001 - I,110 - I,100 - I,110 - I
,3.0,"(0, 6, 7)","[(130, 42), (153, 105), (192, 165)]",011 - I,010 - I,011 - I,100 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(63, 133), (114, 177), (125, 214)]",100 - I,101 - I,110 - I,001 - I,010 - I,011 - I
,3.0,"(2, 3, 7)","[(114, 177), (125, 214), (192, 165)]",001 - I,010 - I,101 - I,010 - I,101 - I,110 - I
,3.0,"(3, 5, 7)","[(125, 214), (154, 134), (192, 165)]",001 - I,110 - I,001 - I,110 - I,001 - I,110 - I
,3.0,"(5, 6, 7)","[(154, 134), (153, 105), (192, 165)]",011 - I,110 - I,011 - I,100 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(130, 42), (63, 133), (114, 177), (125, 214)]",0100 - I,0101 - B,0110 - B,1001 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(130, 42), (63, 133), (114, 177), (137, 142)]",0101 - B,0100 - I,0110 - B,1001 - B,1011 - I,1010 - B
,4.0,"(0, 1, 2, 6)","[(130, 42), (63, 133), (114, 177), (153, 105)]",0101 - B,0101 - B,0111 - I,1000 - I,1010 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(130, 42), (63, 133), (137, 142), (153, 105)]",0111 - I,0101 - B,0101 - B,1010 - B,1010 - B,1000 - I
,4.0,"(0, 1, 5, 6)","[(130, 42), (63, 133), (154, 134), (153, 105)]",0101 - B,0111 - I,0101 - B,1010 - B,1000 - I,1010 - B
,4.0,"(0, 4, 5, 6)","[(130, 42), (137, 142), (154, 134), (153, 105)]",0101 - B,0011 - B,0001 - I,1110 - I,1100 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(130, 42), (154, 134), (153, 105), (192, 165)]",0011 - B,0110 - B,0011 - B,1100 - B,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
