PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(5, 15)",2.0,"(0, 1)","[(5, 15), (46, 116)]",01 - B,10 - B
"(46, 116)",2.0,"(0, 6)","[(5, 15), (211, 32)]",00 - M,11 - M
"(138, 240)",2.0,"(0, 7)","[(5, 15), (250, 24)]",01 - B,10 - B
"(170, 123)",2.0,"(1, 2)","[(46, 116), (138, 240)]",10 - B,01 - B
"(200, 92)",2.0,"(2, 3)","[(138, 240), (170, 123)]",01 - B,10 - B
"(177, 64)",2.0,"(2, 4)","[(138, 240), (200, 92)]",00 - M,11 - M
"(211, 32)",2.0,"(2, 7)","[(138, 240), (250, 24)]",01 - B,10 - B
"(250, 24)",2.0,"(4, 7)","[(200, 92), (250, 24)]",01 - B,10 - B
,2.0,"(6, 7)","[(211, 32), (250, 24)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(5, 15), (46, 116), (138, 240)]",010 - I,101 - I
,3.0,"(0, 1, 5)","[(5, 15), (46, 116), (177, 64)]",011 - I,100 - I
,3.0,"(0, 1, 6)","[(5, 15), (46, 116), (211, 32)]",010 - I,101 - I
,3.0,"(0, 6, 7)","[(5, 15), (211, 32), (250, 24)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(46, 116), (138, 240), (170, 123)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(138, 240), (170, 123), (200, 92)]",010 - I,101 - I
,3.0,"(2, 4, 7)","[(138, 240), (200, 92), (250, 24)]",001 - I,110 - I
,3.0,"(4, 6, 7)","[(200, 92), (211, 32), (250, 24)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(177, 64), (211, 32), (250, 24)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(5, 15), (46, 116), (138, 240), (170, 123)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 5)","[(5, 15), (46, 116), (138, 240), (177, 64)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 5)","[(5, 15), (46, 116), (170, 123), (177, 64)]",0111 - I,1000 - I
,4.0,"(0, 1, 5, 6)","[(5, 15), (46, 116), (177, 64), (211, 32)]",0110 - B,1001 - B
,4.0,"(0, 1, 6, 7)","[(5, 15), (46, 116), (211, 32), (250, 24)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(5, 15), (177, 64), (211, 32), (250, 24)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
