PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01011010,10100101,10110010
"(4, 166)",2.0,"(0, 1)","[(4, 166), (190, 212)]",01 - B,01 - B,10 - B,10 - B
"(190, 212)",2.0,"(0, 4)","[(4, 166), (110, 169)]",01 - B,01 - B,10 - B,10 - B
"(193, 185)",2.0,"(0, 6)","[(4, 166), (75, 146)]",00 - M,01 - B,10 - B,11 - M
"(182, 175)",2.0,"(0, 7)","[(4, 166), (226, 43)]",01 - B,00 - M,11 - M,10 - B
"(110, 169)",2.0,"(1, 2)","[(190, 212), (193, 185)]",10 - B,10 - B,01 - B,01 - B
"(116, 167)",2.0,"(1, 7)","[(190, 212), (226, 43)]",11 - M,10 - B,01 - B,00 - M
"(75, 146)",2.0,"(2, 7)","[(193, 185), (226, 43)]",01 - B,00 - M,11 - M,10 - B
"(226, 43)",2.0,"(3, 7)","[(182, 175), (226, 43)]",01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(75, 146), (226, 43)]",01 - B,10 - B,01 - B,10 - B
,3.0,"(0, 1, 2)","[(4, 166), (190, 212), (193, 185)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(4, 166), (190, 212), (110, 169)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 4, 6)","[(4, 166), (110, 169), (75, 146)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 6, 7)","[(4, 166), (75, 146), (226, 43)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(1, 2, 3)","[(190, 212), (193, 185), (182, 175)]",100 - I,101 - I,010 - I,011 - I
,3.0,"(1, 2, 7)","[(190, 212), (193, 185), (226, 43)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(2, 3, 7)","[(193, 185), (182, 175), (226, 43)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(3, 6, 7)","[(182, 175), (75, 146), (226, 43)]",001 - I,110 - I,001 - I,110 - I
,3.0,"(5, 6, 7)","[(116, 167), (75, 146), (226, 43)]",101 - I,010 - I,101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(4, 166), (190, 212), (193, 185), (182, 175)]",0100 - I,0101 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(4, 166), (190, 212), (193, 185), (110, 169)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 4, 5)","[(4, 166), (190, 212), (110, 169), (116, 167)]",0111 - I,0110 - B,1001 - B,1000 - I
,4.0,"(0, 1, 4, 6)","[(4, 166), (190, 212), (110, 169), (75, 146)]",0110 - B,0111 - I,1000 - I,1001 - B
,4.0,"(0, 4, 5, 6)","[(4, 166), (110, 169), (116, 167), (75, 146)]",0110 - B,0101 - B,1010 - B,1001 - B
,4.0,"(0, 4, 6, 7)","[(4, 166), (110, 169), (75, 146), (226, 43)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(4, 166), (116, 167), (75, 146), (226, 43)]",0101 - B,0010 - I,1101 - I,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
