PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(208, 58)",2.0,"(0, 1)","[(208, 58), (108, 39)]",01 - B,10 - B
"(108, 39)",2.0,"(0, 5)","[(208, 58), (154, 156)]",01 - B,10 - B
"(47, 82)",2.0,"(0, 7)","[(208, 58), (173, 251)]",01 - B,10 - B
"(122, 94)",2.0,"(1, 2)","[(108, 39), (47, 82)]",10 - B,01 - B
"(147, 147)",2.0,"(2, 3)","[(47, 82), (122, 94)]",01 - B,10 - B
"(154, 156)",2.0,"(2, 7)","[(47, 82), (173, 251)]",01 - B,10 - B
"(150, 168)",2.0,"(6, 7)","[(150, 168), (173, 251)]",01 - B,10 - B
"(173, 251)",3.0,"(0, 1, 2)","[(208, 58), (108, 39), (47, 82)]",010 - I,101 - I
,3.0,"(0, 1, 3)","[(208, 58), (108, 39), (122, 94)]",011 - I,100 - I
,3.0,"(0, 1, 5)","[(208, 58), (108, 39), (154, 156)]",011 - I,100 - I
,3.0,"(0, 4, 5)","[(208, 58), (147, 147), (154, 156)]",001 - I,110 - I
,3.0,"(0, 5, 7)","[(208, 58), (154, 156), (173, 251)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(208, 58), (150, 168), (173, 251)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(108, 39), (47, 82), (122, 94)]",101 - I,010 - I
,3.0,"(2, 3, 7)","[(47, 82), (122, 94), (173, 251)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(47, 82), (150, 168), (173, 251)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(154, 156), (150, 168), (173, 251)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(208, 58), (108, 39), (47, 82), (122, 94)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(208, 58), (108, 39), (122, 94), (147, 147)]",0110 - B,1001 - B
,4.0,"(0, 1, 3, 5)","[(208, 58), (108, 39), (122, 94), (154, 156)]",0111 - I,1000 - I
,4.0,"(0, 1, 4, 5)","[(208, 58), (108, 39), (147, 147), (154, 156)]",0101 - B,1010 - B
,4.0,"(0, 4, 5, 6)","[(208, 58), (147, 147), (154, 156), (150, 168)]",0010 - I,1101 - I
,4.0,"(0, 4, 5, 7)","[(208, 58), (147, 147), (154, 156), (173, 251)]",0011 - B,1100 - B
,4.0,"(0, 5, 6, 7)","[(208, 58), (154, 156), (150, 168), (173, 251)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
