PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01100101,10011010,10110010
"(254, 25)",2.0,"(0, 1)","[(254, 25), (2, 12)]",01 - B,01 - B,10 - B,10 - B
"(2, 12)",2.0,"(0, 5)","[(254, 25), (201, 108)]",01 - B,01 - B,10 - B,10 - B
"(20, 77)",2.0,"(0, 7)","[(254, 25), (149, 239)]",01 - B,01 - B,10 - B,10 - B
"(33, 164)",2.0,"(1, 2)","[(2, 12), (20, 77)]",10 - B,11 - M,00 - M,01 - B
"(93, 138)",2.0,"(1, 3)","[(2, 12), (33, 164)]",10 - B,10 - B,01 - B,01 - B
"(201, 108)",2.0,"(2, 3)","[(20, 77), (33, 164)]",00 - M,10 - B,01 - B,11 - M
"(155, 203)",2.0,"(3, 7)","[(33, 164), (149, 239)]",01 - B,01 - B,10 - B,10 - B
"(149, 239)",2.0,"(6, 7)","[(155, 203), (149, 239)]",01 - B,01 - B,10 - B,10 - B
,3.0,"(0, 1, 2)","[(254, 25), (2, 12), (20, 77)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 1, 5)","[(254, 25), (2, 12), (201, 108)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 5, 6)","[(254, 25), (201, 108), (155, 203)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 5, 7)","[(254, 25), (201, 108), (149, 239)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(254, 25), (155, 203), (149, 239)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(1, 2, 3)","[(2, 12), (20, 77), (33, 164)]",100 - I,110 - I,001 - I,011 - I
,3.0,"(2, 3, 7)","[(20, 77), (33, 164), (149, 239)]",001 - I,101 - I,010 - I,110 - I
,3.0,"(3, 6, 7)","[(33, 164), (155, 203), (149, 239)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(5, 6, 7)","[(201, 108), (155, 203), (149, 239)]",101 - I,101 - I,010 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(254, 25), (2, 12), (20, 77), (33, 164)]",0100 - I,0110 - B,1001 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(254, 25), (2, 12), (20, 77), (93, 138)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 1, 2, 5)","[(254, 25), (2, 12), (20, 77), (201, 108)]",0101 - B,0111 - I,1000 - I,1010 - B
,4.0,"(0, 1, 4, 5)","[(254, 25), (2, 12), (93, 138), (201, 108)]",0111 - I,0101 - B,1010 - B,1000 - I
,4.0,"(0, 1, 5, 6)","[(254, 25), (2, 12), (201, 108), (155, 203)]",0110 - B,0110 - B,1001 - B,1001 - B
,4.0,"(0, 4, 5, 6)","[(254, 25), (93, 138), (201, 108), (155, 203)]",0110 - B,0010 - I,1101 - I,1001 - B
,4.0,"(0, 5, 6, 7)","[(254, 25), (201, 108), (155, 203), (149, 239)]",0101 - B,0101 - B,1010 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
