PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010110,10101001
"(34, 193)",2.0,"(0, 1)","[(34, 193), (236, 190)]",01 - B,10 - B
"(236, 190)",2.0,"(0, 3)","[(34, 193), (71, 178)]",01 - B,10 - B
"(175, 162)",2.0,"(0, 4)","[(34, 193), (55, 165)]",00 - M,11 - M
"(71, 178)",2.0,"(0, 6)","[(34, 193), (45, 133)]",01 - B,10 - B
"(55, 165)",2.0,"(0, 7)","[(34, 193), (48, 63)]",00 - M,11 - M
"(60, 153)",2.0,"(1, 2)","[(236, 190), (175, 162)]",10 - B,01 - B
"(45, 133)",2.0,"(1, 7)","[(236, 190), (48, 63)]",10 - B,01 - B
"(48, 63)",2.0,"(2, 7)","[(175, 162), (48, 63)]",00 - M,11 - M
,2.0,"(6, 7)","[(45, 133), (48, 63)]",10 - B,01 - B
,3.0,"(0, 1, 2)","[(34, 193), (236, 190), (175, 162)]",010 - I,101 - I
,3.0,"(0, 1, 3)","[(34, 193), (236, 190), (71, 178)]",011 - I,100 - I
,3.0,"(0, 3, 4)","[(34, 193), (71, 178), (55, 165)]",010 - I,101 - I
,3.0,"(0, 4, 6)","[(34, 193), (55, 165), (45, 133)]",001 - I,110 - I
,3.0,"(0, 6, 7)","[(34, 193), (45, 133), (48, 63)]",010 - I,101 - I
,3.0,"(1, 2, 3)","[(236, 190), (175, 162), (71, 178)]",101 - I,010 - I
,3.0,"(1, 2, 7)","[(236, 190), (175, 162), (48, 63)]",100 - I,011 - I
,3.0,"(2, 6, 7)","[(175, 162), (45, 133), (48, 63)]",010 - I,101 - I
,3.0,"(5, 6, 7)","[(60, 153), (45, 133), (48, 63)]",110 - I,001 - I
,4.0,"(0, 1, 2, 3)","[(34, 193), (236, 190), (175, 162), (71, 178)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(34, 193), (236, 190), (71, 178), (55, 165)]",0110 - B,1001 - B
,4.0,"(0, 3, 4, 5)","[(34, 193), (71, 178), (55, 165), (60, 153)]",0101 - B,1010 - B
,4.0,"(0, 3, 4, 6)","[(34, 193), (71, 178), (55, 165), (45, 133)]",0101 - B,1010 - B
,4.0,"(0, 4, 5, 6)","[(34, 193), (55, 165), (60, 153), (45, 133)]",0011 - B,1100 - B
,4.0,"(0, 4, 6, 7)","[(34, 193), (55, 165), (45, 133), (48, 63)]",0010 - I,1101 - I
,4.0,"(0, 5, 6, 7)","[(34, 193), (60, 153), (45, 133), (48, 63)]",0110 - B,1001 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
