PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01011001,10100110,10110010
"(131, 242)",2.0,"(0, 1)","[(131, 242), (253, 180)]",01 - B,01 - B,10 - B,10 - B
"(253, 180)",2.0,"(0, 4)","[(131, 242), (145, 229)]",01 - B,01 - B,10 - B,10 - B
"(239, 173)",2.0,"(0, 7)","[(131, 242), (149, 71)]",01 - B,01 - B,10 - B,10 - B
"(204, 188)",2.0,"(1, 2)","[(253, 180), (239, 173)]",10 - B,10 - B,01 - B,01 - B
"(145, 229)",2.0,"(1, 7)","[(253, 180), (149, 71)]",11 - M,11 - M,00 - M,00 - M
"(169, 198)",2.0,"(2, 7)","[(239, 173), (149, 71)]",01 - B,01 - B,10 - B,10 - B
"(175, 178)",2.0,"(6, 7)","[(175, 178), (149, 71)]",01 - B,01 - B,10 - B,10 - B
"(149, 71)",3.0,"(0, 1, 2)","[(131, 242), (253, 180), (239, 173)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(131, 242), (253, 180), (145, 229)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 4, 5)","[(131, 242), (145, 229), (169, 198)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(0, 4, 7)","[(131, 242), (145, 229), (149, 71)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(131, 242), (175, 178), (149, 71)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(1, 2, 3)","[(253, 180), (239, 173), (204, 188)]",100 - I,101 - I,010 - I,011 - I
,3.0,"(1, 2, 7)","[(253, 180), (239, 173), (149, 71)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(2, 6, 7)","[(239, 173), (175, 178), (149, 71)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(5, 6, 7)","[(169, 198), (175, 178), (149, 71)]",101 - I,001 - I,110 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(131, 242), (253, 180), (239, 173), (204, 188)]",0100 - I,0101 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(131, 242), (253, 180), (239, 173), (145, 229)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(131, 242), (253, 180), (204, 188), (145, 229)]",0101 - B,0111 - I,1000 - I,1010 - B
,4.0,"(0, 1, 4, 5)","[(131, 242), (253, 180), (145, 229), (169, 198)]",0111 - I,0110 - B,1001 - B,1000 - I
,4.0,"(0, 3, 4, 5)","[(131, 242), (204, 188), (145, 229), (169, 198)]",0011 - B,0110 - B,1001 - B,1100 - B
,4.0,"(0, 4, 5, 6)","[(131, 242), (145, 229), (169, 198), (175, 178)]",0110 - B,0100 - I,1011 - I,1001 - B
,4.0,"(0, 4, 5, 7)","[(131, 242), (145, 229), (169, 198), (149, 71)]",0111 - I,0101 - B,1010 - B,1000 - I
,4.0,"(0, 4, 6, 7)","[(131, 242), (145, 229), (175, 178), (149, 71)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(131, 242), (169, 198), (175, 178), (149, 71)]",0101 - B,0001 - I,1110 - I,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
