PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(255, 23)",2.0,"(0, 1)","[(255, 23), (22, 18)]",01 - B,10 - B
"(22, 18)",2.0,"(0, 5)","[(255, 23), (204, 52)]",01 - B,10 - B
"(0, 57)",2.0,"(0, 6)","[(255, 23), (145, 188)]",00 - M,11 - M
"(23, 67)",2.0,"(0, 7)","[(255, 23), (118, 237)]",01 - B,10 - B
"(60, 95)",2.0,"(1, 2)","[(22, 18), (0, 57)]",10 - B,01 - B
"(204, 52)",2.0,"(2, 3)","[(0, 57), (23, 67)]",01 - B,10 - B
"(145, 188)",2.0,"(2, 7)","[(0, 57), (118, 237)]",01 - B,10 - B
"(118, 237)",2.0,"(6, 7)","[(145, 188), (118, 237)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(255, 23), (22, 18), (0, 57)]",010 - I,101 - I
,3.0,"(0, 1, 5)","[(255, 23), (22, 18), (204, 52)]",011 - I,100 - I
,3.0,"(0, 5, 6)","[(255, 23), (204, 52), (145, 188)]",010 - I,101 - I
,3.0,"(0, 6, 7)","[(255, 23), (145, 188), (118, 237)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(22, 18), (0, 57), (23, 67)]",101 - I,010 - I
,3.0,"(2, 3, 7)","[(0, 57), (23, 67), (118, 237)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(0, 57), (145, 188), (118, 237)]",001 - I,110 - I
,3.0,"(4, 6, 7)","[(60, 95), (145, 188), (118, 237)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(204, 52), (145, 188), (118, 237)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(255, 23), (22, 18), (0, 57), (23, 67)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 5)","[(255, 23), (22, 18), (0, 57), (204, 52)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 5)","[(255, 23), (22, 18), (23, 67), (204, 52)]",0111 - I,1000 - I
,4.0,"(0, 1, 4, 5)","[(255, 23), (22, 18), (60, 95), (204, 52)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(255, 23), (22, 18), (204, 52), (145, 188)]",0110 - B,1001 - B
,4.0,"(0, 4, 5, 6)","[(255, 23), (60, 95), (204, 52), (145, 188)]",0010 - I,1101 - I
,4.0,"(0, 5, 6, 7)","[(255, 23), (204, 52), (145, 188), (118, 237)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
