PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01010110,01100101,10011010,10101001,10110010
"(253, 140)",2.0,"(0, 1)","[(253, 140), (249, 37)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(249, 37)",2.0,"(0, 6)","[(253, 140), (157, 184)]",00 - M,01 - B,00 - M,11 - M,10 - B,11 - M
"(147, 82)",2.0,"(0, 7)","[(253, 140), (115, 218)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(2, 111)",2.0,"(1, 2)","[(249, 37), (147, 82)]",10 - B,10 - B,11 - M,00 - M,01 - B,01 - B
"(81, 133)",2.0,"(1, 3)","[(249, 37), (2, 111)]",10 - B,11 - M,10 - B,01 - B,00 - M,01 - B
"(136, 161)",2.0,"(2, 3)","[(147, 82), (2, 111)]",00 - M,01 - B,10 - B,01 - B,10 - B,11 - M
"(157, 184)",2.0,"(3, 4)","[(2, 111), (81, 133)]",01 - B,10 - B,00 - M,11 - M,01 - B,10 - B
"(115, 218)",2.0,"(3, 7)","[(2, 111), (115, 218)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(157, 184), (115, 218)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
,3.0,"(0, 1, 2)","[(253, 140), (249, 37), (147, 82)]",010 - I,010 - I,011 - I,100 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(253, 140), (249, 37), (157, 184)]",010 - I,011 - I,010 - I,101 - I,100 - I,101 - I
,3.0,"(0, 6, 7)","[(253, 140), (157, 184), (115, 218)]",001 - I,010 - I,001 - I,110 - I,101 - I,110 - I
,3.0,"(1, 2, 3)","[(249, 37), (147, 82), (2, 111)]",100 - I,101 - I,110 - I,001 - I,010 - I,011 - I
,3.0,"(2, 3, 4)","[(147, 82), (2, 111), (81, 133)]",001 - I,010 - I,100 - I,011 - I,101 - I,110 - I
,3.0,"(3, 4, 7)","[(2, 111), (81, 133), (115, 218)]",011 - I,100 - I,001 - I,110 - I,011 - I,100 - I
,3.0,"(3, 6, 7)","[(2, 111), (157, 184), (115, 218)]",001 - I,110 - I,001 - I,110 - I,001 - I,110 - I
,3.0,"(5, 6, 7)","[(136, 161), (157, 184), (115, 218)]",101 - I,110 - I,101 - I,010 - I,001 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(253, 140), (249, 37), (147, 82), (2, 111)]",0100 - I,0101 - B,0110 - B,1001 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(253, 140), (249, 37), (147, 82), (81, 133)]",0101 - B,0100 - I,0110 - B,1001 - B,1011 - I,1010 - B
,4.0,"(0, 1, 2, 5)","[(253, 140), (249, 37), (147, 82), (136, 161)]",0101 - B,0101 - B,0111 - I,1000 - I,1010 - B,1010 - B
,4.0,"(0, 1, 2, 6)","[(253, 140), (249, 37), (147, 82), (157, 184)]",0100 - I,0101 - B,0110 - B,1001 - B,1010 - B,1011 - I
,4.0,"(0, 1, 5, 6)","[(253, 140), (249, 37), (136, 161), (157, 184)]",0110 - B,0111 - I,0110 - B,1001 - B,1000 - I,1001 - B
,4.0,"(0, 1, 6, 7)","[(253, 140), (249, 37), (157, 184), (115, 218)]",0101 - B,0110 - B,0101 - B,1010 - B,1001 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(253, 140), (136, 161), (157, 184), (115, 218)]",0101 - B,0110 - B,0101 - B,1010 - B,1001 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
