PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(243, 129)",2.0,"(0, 1)","[(243, 129), (245, 106)]",01 - B,10 - B
"(245, 106)",2.0,"(0, 7)","[(243, 129), (173, 228)]",01 - B,10 - B
"(10, 19)",2.0,"(1, 2)","[(245, 106), (10, 19)]",10 - B,01 - B
"(55, 186)",2.0,"(2, 3)","[(10, 19), (55, 186)]",01 - B,10 - B
"(45, 236)",2.0,"(2, 4)","[(10, 19), (45, 236)]",00 - M,11 - M
"(123, 205)",2.0,"(3, 4)","[(55, 186), (45, 236)]",10 - B,01 - B
"(117, 225)",2.0,"(4, 6)","[(45, 236), (117, 225)]",00 - M,11 - M
"(173, 228)",2.0,"(4, 7)","[(45, 236), (173, 228)]",01 - B,10 - B
,2.0,"(6, 7)","[(117, 225), (173, 228)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(243, 129), (245, 106), (10, 19)]",010 - I,101 - I
,3.0,"(0, 1, 7)","[(243, 129), (245, 106), (173, 228)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(243, 129), (117, 225), (173, 228)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(245, 106), (10, 19), (55, 186)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(10, 19), (55, 186), (45, 236)]",010 - I,101 - I
,3.0,"(3, 4, 6)","[(55, 186), (45, 236), (117, 225)]",100 - I,011 - I
,3.0,"(4, 6, 7)","[(45, 236), (117, 225), (173, 228)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(123, 205), (117, 225), (173, 228)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(243, 129), (245, 106), (10, 19), (55, 186)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 5)","[(243, 129), (245, 106), (10, 19), (123, 205)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 7)","[(243, 129), (245, 106), (10, 19), (173, 228)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 7)","[(243, 129), (245, 106), (123, 205), (173, 228)]",0111 - I,1000 - I
,4.0,"(0, 1, 6, 7)","[(243, 129), (245, 106), (117, 225), (173, 228)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(243, 129), (123, 205), (117, 225), (173, 228)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
