PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010110,10101001,10101100
"(121, 189)",2.0,"(0, 1)","[(121, 189), (250, 120)]",01 - B,01 - B,10 - B,10 - B
"(250, 120)",2.0,"(0, 3)","[(121, 189), (166, 138)]",01 - B,01 - B,10 - B,10 - B
"(192, 116)",2.0,"(0, 4)","[(121, 189), (98, 143)]",00 - M,00 - M,11 - M,11 - M
"(166, 138)",2.0,"(0, 6)","[(121, 189), (74, 131)]",01 - B,01 - B,10 - B,10 - B
"(98, 143)",2.0,"(0, 7)","[(121, 189), (4, 62)]",01 - B,00 - M,11 - M,10 - B
"(82, 123)",2.0,"(1, 2)","[(250, 120), (192, 116)]",10 - B,10 - B,01 - B,01 - B
"(74, 131)",2.0,"(1, 7)","[(250, 120), (4, 62)]",11 - M,10 - B,01 - B,00 - M
"(4, 62)",2.0,"(2, 7)","[(192, 116), (4, 62)]",01 - B,00 - M,11 - M,10 - B
,2.0,"(5, 7)","[(82, 123), (4, 62)]",01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(74, 131), (4, 62)]",11 - M,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(121, 189), (250, 120), (192, 116)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 3)","[(121, 189), (250, 120), (166, 138)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 3, 4)","[(121, 189), (166, 138), (98, 143)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 4, 6)","[(121, 189), (98, 143), (74, 131)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(0, 6, 7)","[(121, 189), (74, 131), (4, 62)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(250, 120), (192, 116), (166, 138)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(1, 2, 7)","[(250, 120), (192, 116), (4, 62)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(2, 5, 7)","[(192, 116), (82, 123), (4, 62)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(82, 123), (74, 131), (4, 62)]",011 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(121, 189), (250, 120), (192, 116), (166, 138)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(121, 189), (250, 120), (166, 138), (98, 143)]",0110 - B,0110 - B,1001 - B,1001 - B
,4.0,"(0, 3, 4, 6)","[(121, 189), (166, 138), (98, 143), (74, 131)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 4, 5, 6)","[(121, 189), (98, 143), (82, 123), (74, 131)]",0001 - I,0011 - B,1100 - B,1110 - I
,4.0,"(0, 4, 6, 7)","[(121, 189), (98, 143), (74, 131), (4, 62)]",0011 - B,0010 - I,1101 - I,1100 - B
,4.0,"(0, 5, 6, 7)","[(121, 189), (82, 123), (74, 131), (4, 62)]",0011 - B,0110 - B,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
