PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,10110010
"(240, 247)",2.0,"(0, 1)","[(240, 247), (134, 9)]",01 - B,10 - B
"(134, 9)",2.0,"(0, 4)","[(240, 247), (224, 229)]",01 - B,10 - B
"(140, 45)",2.0,"(0, 7)","[(240, 247), (16, 168)]",01 - B,10 - B
"(108, 65)",2.0,"(1, 2)","[(134, 9), (140, 45)]",10 - B,01 - B
"(224, 229)",2.0,"(1, 3)","[(134, 9), (108, 65)]",10 - B,01 - B
"(182, 196)",2.0,"(1, 7)","[(134, 9), (16, 168)]",11 - M,00 - M
"(201, 216)",2.0,"(3, 7)","[(108, 65), (16, 168)]",01 - B,10 - B
"(16, 168)",2.0,"(5, 7)","[(182, 196), (16, 168)]",11 - M,00 - M
,2.0,"(6, 7)","[(201, 216), (16, 168)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(240, 247), (134, 9), (140, 45)]",010 - I,101 - I
,3.0,"(0, 1, 4)","[(240, 247), (134, 9), (224, 229)]",011 - I,100 - I
,3.0,"(0, 4, 6)","[(240, 247), (224, 229), (201, 216)]",010 - I,101 - I
,3.0,"(0, 4, 7)","[(240, 247), (224, 229), (16, 168)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(240, 247), (201, 216), (16, 168)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(134, 9), (140, 45), (108, 65)]",100 - I,011 - I
,3.0,"(1, 3, 7)","[(134, 9), (108, 65), (16, 168)]",101 - I,010 - I
,3.0,"(2, 3, 7)","[(140, 45), (108, 65), (16, 168)]",001 - I,110 - I
,3.0,"(3, 5, 7)","[(108, 65), (182, 196), (16, 168)]",011 - I,100 - I
,3.0,"(5, 6, 7)","[(182, 196), (201, 216), (16, 168)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(240, 247), (134, 9), (140, 45), (108, 65)]",0100 - I,1011 - I
,4.0,"(0, 1, 2, 4)","[(240, 247), (134, 9), (140, 45), (224, 229)]",0101 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(240, 247), (134, 9), (224, 229), (201, 216)]",0110 - B,1001 - B
,4.0,"(0, 4, 5, 6)","[(240, 247), (224, 229), (182, 196), (201, 216)]",0110 - B,1001 - B
,4.0,"(0, 4, 6, 7)","[(240, 247), (224, 229), (201, 216), (16, 168)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(240, 247), (182, 196), (201, 216), (16, 168)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
