PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,00110101,01001110,01100101,10011010,10110001,11001010
"(23, 18)",2.0,"(0, 1)","[(23, 18), (144, 237)]",00 - M,01 - B,01 - B,10 - B,10 - B,11 - M
"(144, 237)",2.0,"(0, 2)","[(23, 18), (125, 171)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(125, 171)",2.0,"(0, 5)","[(23, 18), (140, 148)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(164, 198)",2.0,"(0, 6)","[(23, 18), (169, 126)]",00 - M,01 - B,00 - M,11 - M,10 - B,11 - M
"(146, 169)",2.0,"(0, 7)","[(23, 18), (232, 98)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(140, 148)",2.0,"(1, 2)","[(144, 237), (125, 171)]",01 - B,10 - B,11 - M,00 - M,01 - B,10 - B
"(169, 126)",2.0,"(1, 3)","[(144, 237), (164, 198)]",01 - B,10 - B,10 - B,01 - B,01 - B,10 - B
"(232, 98)",2.0,"(1, 7)","[(144, 237), (232, 98)]",01 - B,10 - B,11 - M,00 - M,01 - B,10 - B
,2.0,"(3, 7)","[(164, 198), (232, 98)]",11 - M,00 - M,01 - B,10 - B,11 - M,00 - M
,2.0,"(6, 7)","[(169, 126), (232, 98)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
,3.0,"(0, 1, 2)","[(23, 18), (144, 237), (125, 171)]",001 - I,010 - I,011 - I,100 - I,101 - I,110 - I
,3.0,"(0, 2, 5)","[(23, 18), (125, 171), (140, 148)]",011 - I,001 - I,011 - I,100 - I,110 - I,100 - I
,3.0,"(0, 5, 6)","[(23, 18), (140, 148), (169, 126)]",010 - I,011 - I,010 - I,101 - I,100 - I,101 - I
,3.0,"(0, 6, 7)","[(23, 18), (169, 126), (232, 98)]",001 - I,010 - I,001 - I,110 - I,101 - I,110 - I
,3.0,"(1, 2, 3)","[(144, 237), (125, 171), (164, 198)]",011 - I,100 - I,110 - I,001 - I,011 - I,100 - I
,3.0,"(1, 3, 4)","[(144, 237), (164, 198), (146, 169)]",010 - I,101 - I,100 - I,011 - I,010 - I,101 - I
,3.0,"(1, 3, 7)","[(144, 237), (164, 198), (232, 98)]",011 - I,100 - I,101 - I,010 - I,011 - I,100 - I
,3.0,"(3, 6, 7)","[(164, 198), (169, 126), (232, 98)]",101 - I,010 - I,001 - I,110 - I,101 - I,010 - I
,3.0,"(5, 6, 7)","[(140, 148), (169, 126), (232, 98)]",101 - I,110 - I,101 - I,010 - I,001 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(23, 18), (144, 237), (125, 171), (164, 198)]",0011 - B,0100 - I,0110 - B,1001 - B,1011 - I,1100 - B
,4.0,"(0, 1, 2, 4)","[(23, 18), (144, 237), (125, 171), (146, 169)]",0010 - I,0101 - B,0110 - B,1001 - B,1010 - B,1101 - I
,4.0,"(0, 1, 2, 5)","[(23, 18), (144, 237), (125, 171), (140, 148)]",0011 - B,0101 - B,0111 - I,1000 - I,1010 - B,1100 - B
,4.0,"(0, 2, 4, 5)","[(23, 18), (125, 171), (146, 169), (140, 148)]",0101 - B,0011 - B,0101 - B,1010 - B,1100 - B,1010 - B
,4.0,"(0, 2, 5, 6)","[(23, 18), (125, 171), (140, 148), (169, 126)]",0110 - B,0011 - B,0110 - B,1001 - B,1100 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(23, 18), (140, 148), (169, 126), (232, 98)]",0101 - B,0110 - B,0101 - B,1010 - B,1001 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
