PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010110,10101001,10101100
"(143, 242)",2.0,"(0, 1)","[(143, 242), (249, 146)]",01 - B,01 - B,10 - B,10 - B
"(249, 146)",2.0,"(0, 6)","[(143, 242), (156, 211)]",01 - B,01 - B,10 - B,10 - B
"(236, 144)",2.0,"(0, 7)","[(143, 242), (1, 14)]",01 - B,00 - M,11 - M,10 - B
"(211, 151)",2.0,"(1, 2)","[(249, 146), (236, 144)]",10 - B,10 - B,01 - B,01 - B
"(179, 189)",2.0,"(1, 7)","[(249, 146), (1, 14)]",11 - M,10 - B,01 - B,00 - M
"(195, 150)",2.0,"(2, 7)","[(236, 144), (1, 14)]",01 - B,00 - M,11 - M,10 - B
"(156, 211)",2.0,"(5, 7)","[(195, 150), (1, 14)]",01 - B,10 - B,01 - B,10 - B
"(1, 14)",2.0,"(6, 7)","[(156, 211), (1, 14)]",11 - M,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(143, 242), (249, 146), (236, 144)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(143, 242), (249, 146), (156, 211)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 4, 6)","[(143, 242), (179, 189), (156, 211)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(0, 6, 7)","[(143, 242), (156, 211), (1, 14)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(249, 146), (236, 144), (211, 151)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(1, 2, 7)","[(249, 146), (236, 144), (1, 14)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(2, 5, 7)","[(236, 144), (195, 150), (1, 14)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(3, 5, 7)","[(211, 151), (195, 150), (1, 14)]",101 - I,110 - I,001 - I,010 - I
,3.0,"(5, 6, 7)","[(195, 150), (156, 211), (1, 14)]",011 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(143, 242), (249, 146), (236, 144), (211, 151)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(143, 242), (249, 146), (236, 144), (179, 189)]",0100 - I,0100 - I,1011 - I,1011 - I
,4.0,"(0, 1, 2, 6)","[(143, 242), (249, 146), (236, 144), (156, 211)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(143, 242), (249, 146), (179, 189), (156, 211)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 3, 4, 6)","[(143, 242), (211, 151), (179, 189), (156, 211)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 4, 5, 6)","[(143, 242), (179, 189), (195, 150), (156, 211)]",0001 - I,0011 - B,1100 - B,1110 - I
,4.0,"(0, 4, 6, 7)","[(143, 242), (179, 189), (156, 211), (1, 14)]",0011 - B,0010 - I,1101 - I,1100 - B
,4.0,"(0, 5, 6, 7)","[(143, 242), (195, 150), (156, 211), (1, 14)]",0011 - B,0110 - B,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
