PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010110,01100011,10011100,10101001
"(14, 163)",2.0,"(0, 1)","[(14, 163), (232, 247)]",01 - B,01 - B,10 - B,10 - B
"(232, 247)",2.0,"(0, 6)","[(14, 163), (48, 118)]",01 - B,01 - B,10 - B,10 - B
"(229, 207)",2.0,"(0, 7)","[(14, 163), (84, 16)]",00 - M,01 - B,10 - B,11 - M
"(242, 129)",2.0,"(1, 2)","[(232, 247), (229, 207)]",10 - B,11 - M,00 - M,01 - B
"(111, 137)",2.0,"(1, 3)","[(232, 247), (242, 129)]",11 - M,10 - B,01 - B,00 - M
"(104, 78)",2.0,"(2, 3)","[(229, 207), (242, 129)]",01 - B,10 - B,01 - B,10 - B
"(48, 118)",2.0,"(3, 7)","[(242, 129), (84, 16)]",10 - B,01 - B,10 - B,01 - B
"(84, 16)",2.0,"(5, 7)","[(104, 78), (84, 16)]",10 - B,01 - B,10 - B,01 - B
,2.0,"(6, 7)","[(48, 118), (84, 16)]",10 - B,11 - M,00 - M,01 - B
,3.0,"(0, 1, 2)","[(14, 163), (232, 247), (229, 207)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 1, 6)","[(14, 163), (232, 247), (48, 118)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 4, 6)","[(14, 163), (111, 137), (48, 118)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(0, 6, 7)","[(14, 163), (48, 118), (84, 16)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(1, 2, 3)","[(232, 247), (229, 207), (242, 129)]",101 - I,110 - I,001 - I,010 - I
,3.0,"(2, 3, 7)","[(229, 207), (242, 129), (84, 16)]",010 - I,101 - I,010 - I,101 - I
,3.0,"(3, 5, 7)","[(242, 129), (104, 78), (84, 16)]",110 - I,001 - I,110 - I,001 - I
,3.0,"(5, 6, 7)","[(104, 78), (48, 118), (84, 16)]",110 - I,011 - I,100 - I,001 - I
,4.0,"(0, 1, 2, 3)","[(14, 163), (232, 247), (229, 207), (242, 129)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(14, 163), (232, 247), (229, 207), (111, 137)]",0100 - I,0110 - B,1001 - B,1011 - I
,4.0,"(0, 1, 2, 6)","[(14, 163), (232, 247), (229, 207), (48, 118)]",0101 - B,0111 - I,1000 - I,1010 - B
,4.0,"(0, 1, 4, 6)","[(14, 163), (232, 247), (111, 137), (48, 118)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 4, 5, 6)","[(14, 163), (111, 137), (104, 78), (48, 118)]",0011 - B,0001 - I,1110 - I,1100 - B
,4.0,"(0, 4, 6, 7)","[(14, 163), (111, 137), (48, 118), (84, 16)]",0010 - I,0011 - B,1100 - B,1101 - I
,4.0,"(0, 5, 6, 7)","[(14, 163), (104, 78), (48, 118), (84, 16)]",0110 - B,0011 - B,1100 - B,1001 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
