PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010101,10101010,10101100
"(109, 154)",2.0,"(0, 1)","[(109, 154), (151, 148)]",01 - B,01 - B,10 - B,10 - B
"(151, 148)",2.0,"(0, 6)","[(109, 154), (106, 145)]",01 - B,00 - M,11 - M,10 - B
"(228, 118)",2.0,"(0, 7)","[(109, 154), (27, 101)]",01 - B,01 - B,10 - B,10 - B
"(142, 129)",2.0,"(1, 2)","[(151, 148), (228, 118)]",10 - B,10 - B,01 - B,01 - B
"(113, 116)",2.0,"(2, 3)","[(228, 118), (142, 129)]",01 - B,01 - B,10 - B,10 - B
"(108, 126)",2.0,"(2, 4)","[(228, 118), (113, 116)]",00 - M,00 - M,11 - M,11 - M
"(106, 145)",2.0,"(2, 7)","[(228, 118), (27, 101)]",01 - B,01 - B,10 - B,10 - B
"(27, 101)",2.0,"(4, 7)","[(113, 116), (27, 101)]",01 - B,01 - B,10 - B,10 - B
,2.0,"(5, 7)","[(108, 126), (27, 101)]",01 - B,11 - M,00 - M,10 - B
,2.0,"(6, 7)","[(106, 145), (27, 101)]",11 - M,01 - B,10 - B,00 - M
,3.0,"(0, 1, 2)","[(109, 154), (151, 148), (228, 118)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(109, 154), (151, 148), (106, 145)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(0, 6, 7)","[(109, 154), (106, 145), (27, 101)]",011 - I,001 - I,110 - I,100 - I
,3.0,"(1, 2, 3)","[(151, 148), (228, 118), (142, 129)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(2, 3, 4)","[(228, 118), (142, 129), (113, 116)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(2, 4, 7)","[(228, 118), (113, 116), (27, 101)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(4, 5, 7)","[(113, 116), (108, 126), (27, 101)]",001 - I,011 - I,100 - I,110 - I
,3.0,"(5, 6, 7)","[(108, 126), (106, 145), (27, 101)]",011 - I,101 - I,010 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(109, 154), (151, 148), (228, 118), (142, 129)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 2, 6)","[(109, 154), (151, 148), (228, 118), (106, 145)]",0101 - B,0100 - I,1011 - I,1010 - B
,4.0,"(0, 1, 3, 6)","[(109, 154), (151, 148), (142, 129), (106, 145)]",0111 - I,0110 - B,1001 - B,1000 - I
,4.0,"(0, 1, 5, 6)","[(109, 154), (151, 148), (108, 126), (106, 145)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 1, 6, 7)","[(109, 154), (151, 148), (106, 145), (27, 101)]",0111 - I,0101 - B,1010 - B,1000 - I
,4.0,"(0, 5, 6, 7)","[(109, 154), (108, 126), (106, 145), (27, 101)]",0011 - B,0101 - B,1010 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
