PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010110,01011001,10100110,10101001,10101100
"(11, 204)",2.0,"(0, 1)","[(11, 204), (246, 223)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(246, 223)",2.0,"(0, 3)","[(11, 204), (131, 195)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(218, 203)",2.0,"(0, 6)","[(11, 204), (43, 152)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
"(131, 195)",2.0,"(0, 7)","[(11, 204), (39, 33)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(124, 178)",2.0,"(1, 2)","[(246, 223), (218, 203)]",10 - B,10 - B,10 - B,01 - B,01 - B,01 - B
"(148, 166)",2.0,"(1, 7)","[(246, 223), (39, 33)]",11 - M,10 - B,11 - M,00 - M,01 - B,00 - M
"(43, 152)",2.0,"(2, 7)","[(218, 203), (39, 33)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(39, 33)",2.0,"(5, 7)","[(148, 166), (39, 33)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(43, 152), (39, 33)]",11 - M,10 - B,01 - B,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(11, 204), (246, 223), (218, 203)]",010 - I,010 - I,010 - I,101 - I,101 - I,101 - I
,3.0,"(0, 1, 3)","[(11, 204), (246, 223), (131, 195)]",011 - I,011 - I,011 - I,100 - I,100 - I,100 - I
,3.0,"(0, 3, 6)","[(11, 204), (131, 195), (43, 152)]",011 - I,011 - I,010 - I,101 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(11, 204), (43, 152), (39, 33)]",011 - I,010 - I,001 - I,110 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(246, 223), (218, 203), (131, 195)]",101 - I,101 - I,101 - I,010 - I,010 - I,010 - I
,3.0,"(1, 2, 5)","[(246, 223), (218, 203), (148, 166)]",100 - I,101 - I,100 - I,011 - I,010 - I,011 - I
,3.0,"(1, 2, 7)","[(246, 223), (218, 203), (39, 33)]",101 - I,100 - I,101 - I,010 - I,011 - I,010 - I
,3.0,"(2, 5, 7)","[(218, 203), (148, 166), (39, 33)]",001 - I,010 - I,001 - I,110 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(148, 166), (43, 152), (39, 33)]",011 - I,110 - I,001 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(11, 204), (246, 223), (218, 203), (131, 195)]",0101 - B,0101 - B,0101 - B,1010 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(11, 204), (246, 223), (131, 195), (124, 178)]",0110 - B,0110 - B,0111 - I,1000 - I,1001 - B,1001 - B
,4.0,"(0, 1, 3, 6)","[(11, 204), (246, 223), (131, 195), (43, 152)]",0111 - I,0111 - I,0110 - B,1001 - B,1000 - I,1000 - I
,4.0,"(0, 3, 4, 6)","[(11, 204), (131, 195), (124, 178), (43, 152)]",0101 - B,0101 - B,0110 - B,1001 - B,1010 - B,1010 - B
,4.0,"(0, 3, 6, 7)","[(11, 204), (131, 195), (43, 152), (39, 33)]",0111 - I,0110 - B,0101 - B,1010 - B,1001 - B,1000 - I
,4.0,"(0, 4, 6, 7)","[(11, 204), (124, 178), (43, 152), (39, 33)]",0011 - B,0010 - I,0101 - B,1010 - B,1101 - I,1100 - B
,4.0,"(0, 5, 6, 7)","[(11, 204), (148, 166), (43, 152), (39, 33)]",0011 - B,0110 - B,0001 - I,1110 - I,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
