PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010110,10101001,10101100
"(222, 243)",2.0,"(0, 1)","[(222, 243), (238, 13)]",01 - B,01 - B,10 - B,10 - B
"(238, 13)",2.0,"(0, 6)","[(222, 243), (174, 188)]",01 - B,01 - B,10 - B,10 - B
"(131, 50)",2.0,"(0, 7)","[(222, 243), (18, 51)]",01 - B,00 - M,11 - M,10 - B
"(154, 105)",2.0,"(1, 2)","[(238, 13), (131, 50)]",10 - B,10 - B,01 - B,01 - B
"(166, 145)",2.0,"(1, 7)","[(238, 13), (18, 51)]",11 - M,10 - B,01 - B,00 - M
"(134, 106)",2.0,"(2, 7)","[(131, 50), (18, 51)]",01 - B,00 - M,11 - M,10 - B
"(174, 188)",2.0,"(5, 7)","[(134, 106), (18, 51)]",01 - B,10 - B,01 - B,10 - B
"(18, 51)",2.0,"(6, 7)","[(174, 188), (18, 51)]",11 - M,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(222, 243), (238, 13), (131, 50)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 3)","[(222, 243), (238, 13), (154, 105)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 1, 4)","[(222, 243), (238, 13), (166, 145)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(222, 243), (238, 13), (174, 188)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 4, 6)","[(222, 243), (166, 145), (174, 188)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(0, 6, 7)","[(222, 243), (174, 188), (18, 51)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(238, 13), (131, 50), (154, 105)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(1, 2, 7)","[(238, 13), (131, 50), (18, 51)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(2, 5, 7)","[(131, 50), (134, 106), (18, 51)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(134, 106), (174, 188), (18, 51)]",011 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(222, 243), (238, 13), (131, 50), (154, 105)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(222, 243), (238, 13), (154, 105), (166, 145)]",0110 - B,0110 - B,1001 - B,1001 - B
,4.0,"(0, 1, 4, 6)","[(222, 243), (238, 13), (166, 145), (174, 188)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 3, 4, 6)","[(222, 243), (154, 105), (166, 145), (174, 188)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 4, 5, 6)","[(222, 243), (166, 145), (134, 106), (174, 188)]",0001 - I,0011 - B,1100 - B,1110 - I
,4.0,"(0, 4, 6, 7)","[(222, 243), (166, 145), (174, 188), (18, 51)]",0011 - B,0010 - I,1101 - I,1100 - B
,4.0,"(0, 5, 6, 7)","[(222, 243), (134, 106), (174, 188), (18, 51)]",0011 - B,0110 - B,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
