PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01010011,01010110,01011001,10100110,10101001,10101100,10110010
"(243, 169)",2.0,"(0, 1)","[(243, 169), (248, 19)]",01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B
"(248, 19)",2.0,"(0, 6)","[(243, 169), (153, 203)]",00 - M,01 - B,01 - B,00 - M,11 - M,10 - B,10 - B,11 - M
"(7, 29)",2.0,"(0, 7)","[(243, 169), (106, 237)]",01 - B,01 - B,00 - M,01 - B,10 - B,11 - M,10 - B,10 - B
"(88, 109)",2.0,"(1, 2)","[(248, 19), (7, 29)]",10 - B,10 - B,10 - B,10 - B,01 - B,01 - B,01 - B,01 - B
"(144, 141)",2.0,"(2, 3)","[(7, 29), (88, 109)]",00 - M,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,11 - M
"(79, 139)",2.0,"(2, 5)","[(7, 29), (79, 139)]",01 - B,00 - M,01 - B,00 - M,11 - M,10 - B,11 - M,10 - B
"(153, 203)",2.0,"(2, 7)","[(7, 29), (106, 237)]",01 - B,01 - B,00 - M,01 - B,10 - B,11 - M,10 - B,10 - B
"(106, 237)",2.0,"(5, 7)","[(79, 139), (106, 237)]",11 - M,01 - B,10 - B,01 - B,10 - B,01 - B,10 - B,00 - M
,2.0,"(6, 7)","[(153, 203), (106, 237)]",01 - B,11 - M,10 - B,01 - B,10 - B,01 - B,00 - M,10 - B
,3.0,"(0, 1, 2)","[(243, 169), (248, 19), (7, 29)]",010 - I,010 - I,010 - I,010 - I,101 - I,101 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(243, 169), (248, 19), (144, 141)]",011 - I,010 - I,010 - I,011 - I,100 - I,101 - I,101 - I,100 - I
,3.0,"(0, 1, 6)","[(243, 169), (248, 19), (153, 203)]",010 - I,011 - I,011 - I,010 - I,101 - I,100 - I,100 - I,101 - I
,3.0,"(0, 6, 7)","[(243, 169), (153, 203), (106, 237)]",001 - I,011 - I,010 - I,001 - I,110 - I,101 - I,100 - I,110 - I
,3.0,"(1, 2, 3)","[(248, 19), (7, 29), (88, 109)]",100 - I,101 - I,101 - I,101 - I,010 - I,010 - I,010 - I,011 - I
,3.0,"(2, 3, 5)","[(7, 29), (88, 109), (79, 139)]",001 - I,010 - I,011 - I,010 - I,101 - I,100 - I,101 - I,110 - I
,3.0,"(2, 5, 7)","[(7, 29), (79, 139), (106, 237)]",011 - I,001 - I,010 - I,001 - I,110 - I,101 - I,110 - I,100 - I
,3.0,"(5, 6, 7)","[(79, 139), (153, 203), (106, 237)]",101 - I,011 - I,110 - I,001 - I,110 - I,001 - I,100 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(243, 169), (248, 19), (7, 29), (88, 109)]",0100 - I,0101 - B,0101 - B,0101 - B,1010 - B,1010 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(243, 169), (248, 19), (7, 29), (144, 141)]",0101 - B,0100 - I,0100 - I,0101 - B,1010 - B,1011 - I,1011 - I,1010 - B
,4.0,"(0, 1, 3, 4)","[(243, 169), (248, 19), (88, 109), (144, 141)]",0101 - B,0110 - B,0110 - B,0111 - I,1000 - I,1001 - B,1001 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(243, 169), (248, 19), (144, 141), (153, 203)]",0110 - B,0101 - B,0101 - B,0110 - B,1001 - B,1010 - B,1010 - B,1001 - B
,4.0,"(0, 1, 6, 7)","[(243, 169), (248, 19), (153, 203), (106, 237)]",0101 - B,0111 - I,0110 - B,0101 - B,1010 - B,1001 - B,1000 - I,1010 - B
,4.0,"(0, 4, 6, 7)","[(243, 169), (144, 141), (153, 203), (106, 237)]",0101 - B,0011 - B,0010 - I,0101 - B,1010 - B,1101 - I,1100 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(243, 169), (79, 139), (153, 203), (106, 237)]",0101 - B,0011 - B,0110 - B,0001 - I,1110 - I,1001 - B,1100 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,,,
